	PD_whole_tree	chao1	observed_otus
Sample.40.2	141.13099	2800.17086331	2295.0
Sample.40.1	188.47621	3768.026538	3187.0
Sample.103.2	247.60384	4862.64037123	4378.0
Sample.15.1	121.5849	2776.94787645	2306.0
Sample.39.1	239.35424	5052.97493036	4313.0
Sample.39.2	174.5279	3311.15384615	2823.0
Sample.46.1	247.95043	5208.5027027	4456.0
Sample.59.1	67.89413	1537.68604651	1290.0
Sample.55.1	168.64329	3136.40825688	2604.0
Sample.56.1	102.90826	2071.37724551	1621.0
Sample.8.2	342.3846	8207.30237826	7025.0
Sample.86.1	187.2192	3915.86436498	3311.0
Sample.55.2	136.25926	2959.60606061	2330.0
Sample.107.1	119.25646	2550.84356436	2156.0
Sample.62.1	69.54358	1372.71129707	1133.0
Sample.63.2	170.36914	3461.6834925	2911.0
Sample.96.2	196.41161	3861.04953917	3345.0
Sample.52.1	214.08769	4443.7107943	3809.0
Sample.52.2	162.09663	3110.75738725	2577.0
Sample.45.1	264.92809	5738.60728118	4926.0
Sample.45.2	266.77232	6069.22662174	4948.0
Sample.37.1	76.65671	1226.45528455	1038.0
Sample.83.2	185.40374	3606.22222222	3066.0
Sample.83.1	157.878	2906.89450223	2518.0
Sample.37.2	89.29691	1674.67823344	1381.0
Sample.66.1	117.15939	1948.50742574	1636.0
Sample.66.2	140.38894	2574.8125	2135.0
Sample.6.2	146.23025	2724.92281879	2333.0
Sample.80.2	149.92456	3007.36044657	2557.0
Sample.80.1	127.22916	2310.12691466	1909.0
Sample.100.1	262.68274	5297.96043165	4789.0
Sample.19.2	198.01676	4092.10526316	3524.0
Sample.96.1	162.24677	2977.46919431	2564.0
Sample.2.2	202.51051	4064.14575412	3399.0
Sample.19.1	179.43617	3540.375	2966.0
Sample.73.2	234.7243	5284.91957105	4535.0
Sample.46.2	178.68449	3415.09952607	2776.0
Sample.35.1	260.41118	5680.82635659	4976.0
Sample.35.2	356.63951	8112.01081917	7135.0
Sample.22.2	148.76161	2852.41176471	2311.0
