# Constructed from biom file
#OTU ID	Sample.40.2	Sample.40.1	Sample.103.2	Sample.15.1	Sample.39.1	Sample.39.2	Sample.46.1	Sample.59.1	Sample.55.1	Sample.56.1	Sample.8.2	Sample.86.1	Sample.55.2	Sample.107.1	Sample.62.1	Sample.63.2	Sample.96.2	Sample.52.1	Sample.52.2	Sample.45.1	Sample.45.2	Sample.37.1	Sample.83.2	Sample.83.1	Sample.37.2	Sample.66.1	Sample.66.2	Sample.6.2	Sample.80.2	Sample.80.1	Sample.100.1	Sample.19.2	Sample.96.1	Sample.2.2	Sample.19.1	Sample.73.2	Sample.46.2	Sample.35.1	Sample.35.2	Sample.22.2	Sample.24.1	Sample.7.1	Sample.24.2	Sample.7.2	Sample.70.1	Sample.38.1	Sample.75.2	Sample.95.2	Sample.20.2	Sample.10.1	Sample.33.1	Sample.33.2	Sample.86.2	Sample.61.2	Sample.61.1	Sample.87.1	Sample.58.1	Sample.98.1	Sample.1.1	Sample.58.2	Sample.72.1	Sample.6.1	Sample.29.2	Sample.49.1	Sample.63.1	Sample.2.1	Sample.79.1	Sample.95.1	Sample.90.1	Sample.25.2	Sample.38.2	Sample.17.1	Sample.28.2	Sample.30.1	Sample.34.1	Sample.31.2	Sample.54.1	Sample.41.1	Sample.44.2	Sample.53.1	Sample.29.1	Sample.53.2	Sample.42.1	Sample.81.1	Sample.1.2	Sample.76.2	Sample.79.2	Sample.41.2	Sample.91.1	Sample.42.2	Sample.77.1	Sample.23.1	Sample.81.2	Sample.107.2	Sample.98.2	Sample.72.2	Sample.69.1	Sample.73.1	Sample.57.1	Sample.28.1	Sample.56.2	Sample.18.2	Sample.11.2	Sample.8.1	Sample.76.1	Sample.11.1	Sample.27.1	Sample.9.2	Sample.100.2	Sample.5.2	Sample.5.1	Sample.48.2	Sample.9.1	Sample.13.1	Sample.10.2	Sample.91.2	Sample.14.1	Sample.14.2	Sample.15.2	Sample.3.2	Sample.27.2	Sample.90.2	Sample.18.1	Sample.30.2	Sample.70.2	Sample.17.2	Sample.84.1	Sample.49.2	Sample.51.2	Sample.3.1	Sample.44.1	Sample.34.2	Sample.57.2	Sample.84.2	Sample.67.2	Sample.77.2	Sample.13.2	Sample.65.2	Sample.59.2	Sample.47.1	Sample.22.1	Sample.108.1	Sample.51.1	Sample.108.2	Sample.71.1	Sample.105.1	Sample.67.1	Sample.105.2	Sample.89.2	Sample.99.1	Sample.62.2	Sample.71.2	Sample.65.1	Sample.74.1	Sample.20.1	Sample.69.2	Sample.88.2	Sample.25.1	Sample.75.1	Sample.48.1	Sample.87.2	Sample.89.1	Sample.74.2	Sample.103.1	Sample.54.2	Sample.106.2	Sample.92.1	Sample.47.2	Sample.92.2	Sample.88.1	Sample.23.2	Sample.31.1	Sample.106.1	Sample.99.2	KEGG_Pathways
1,1,1-Trichloro-2,2-bis(4-chlorophenyl)ethane (DDT) degradation	816.0	883.0	22.0	1.0	347.0	422.0	329.0	4.0	306.0	0.0	38.0	8.0	982.0	62.0	200.0	69.0	28.0	641.0	509.0	358.0	272.0	69.0	207.0	82.0	158.0	75.0	219.0	64.0	136.0	205.0	212.0	30.0	20.0	1660.0	264.0	48.0	774.0	169.0	504.0	0.0	732.0	300.0	205.0	861.0	31.0	1186.0	122.0	19.0	0.0	1.0	630.0	1189.0	10.0	117.0	67.0	0.0	12.0	325.0	48.0	20.0	741.0	7.0	164.0	287.0	50.0	442.0	292.0	39.0	77.0	78.0	779.0	288.0	638.0	264.0	770.0	604.0	162.0	30.0	1082.0	29.0	287.0	40.0	23.0	141.0	0.0	960.0	432.0	396.0	66.0	103.0	173.0	0.0	151.0	106.0	541.0	396.0	184.0	2.0	0.0	1097.0	0.0	667.0	681.0	0.0	260.0	833.0	1378.0	21.0	26.0	1477.0	1795.0	120.0	192.0	432.0	0.0	21.0	0.0	0.0	0.0	1378.0	944.0	80.0	726.0	1105.0	263.0	457.0	27.0	368.0	203.0	952.0	193.0	1174.0	18.0	36.0	28.0	2.0	466.0	685.0	397.0	934.0	1053.0	14.0	98.0	4.0	158.0	212.0	49.0	689.0	259.0	0.0	204.0	348.0	422.0	0.0	0.0	421.0	98.0	495.0	0.0	276.0	382.0	289.0	0.0	246.0	634.0	0.0	2.0	646.0	150.0	17.0	12.0	1196.0	0.0	0.0	Metabolism; Xenobiotics Biodegradation and Metabolism; 1,1,1-Trichloro-2,2-bis(4-chlorophenyl)ethane (DDT) degradation
ABC transporters	1065857.0	1363074.0	917455.0	3163806.0	1723255.0	941523.0	1696715.0	2897304.0	1020469.0	1042316.0	4683607.0	1799580.0	2275127.0	1754268.0	1203396.0	1081366.0	850802.0	1455771.0	846301.0	2023306.0	1828671.0	687820.0	1462865.0	1147134.0	1379165.0	541115.0	1126770.0	993836.0	2180210.0	990643.0	1367274.0	1858588.0	1247783.0	2998998.0	1153208.0	2928965.0	1081380.0	1650189.0	2331300.0	799971.0	1907913.0	2727676.0	2029167.0	3230608.0	1121220.0	3060275.0	2012051.0	1702103.0	1222215.0	3219482.0	1749677.0	1785243.0	2083808.0	888776.0	385620.0	970686.0	2152562.0	1003513.0	2281651.0	1737162.0	1130071.0	1833525.0	2370701.0	953059.0	1589644.0	2535484.0	2258503.0	1630995.0	2282700.0	1785081.0	3852298.0	3013989.0	1690335.0	1864750.0	2049781.0	1171935.0	1013522.0	1464252.0	2401659.0	731666.0	3179938.0	1013686.0	2044189.0	1938917.0	1781590.0	1466201.0	677514.0	2174733.0	1225201.0	1200127.0	946599.0	925554.0	1400921.0	1438155.0	1501545.0	1223555.0	534718.0	1271925.0	2119991.0	2282048.0	1098337.0	1208705.0	1657117.0	1693873.0	887796.0	1312105.0	1556554.0	948433.0	1206573.0	1357967.0	1900322.0	806009.0	789373.0	949728.0	3430832.0	900365.0	1518403.0	3032835.0	1624097.0	2710075.0	1195764.0	1132497.0	1716731.0	2019113.0	1600267.0	2412855.0	1547927.0	767063.0	607351.0	2408565.0	2312458.0	3339220.0	1229541.0	1099075.0	800178.0	1482236.0	704679.0	1641941.0	2306021.0	1960826.0	3096267.0	2729873.0	1081254.0	2637978.0	2162152.0	890443.0	582228.0	1408529.0	1920651.0	927699.0	864648.0	1695963.0	1105214.0	2166875.0	924603.0	606604.0	1777760.0	1708066.0	2164795.0	798838.0	1192500.0	723875.0	1899669.0	833685.0	1616760.0	1224665.0	2122104.0	1649620.0	1362662.0	1555675.0	607464.0	1608067.0	987861.0	483874.0	Environmental Information Processing; Membrane Transport; ABC transporters
Adherens junction	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Cellular Processes; Cell Communication; Adherens junction
Adipocytokine signaling pathway	52305.0	50151.0	18172.0	83390.0	62499.0	35099.0	65090.0	33744.0	40195.0	36826.0	128254.0	28394.0	83343.0	47362.0	18882.0	42842.0	27996.0	45766.0	38855.0	66717.0	82575.0	47823.0	37148.0	30441.0	40853.0	22220.0	46555.0	29808.0	34501.0	23143.0	28467.0	41707.0	35277.0	86561.0	35694.0	43106.0	39477.0	39200.0	56412.0	24707.0	59862.0	110632.0	87238.0	95679.0	29159.0	118312.0	41502.0	38344.0	32259.0	83970.0	63554.0	72585.0	37649.0	25775.0	8736.0	27533.0	35401.0	25156.0	29501.0	27280.0	43257.0	28083.0	29519.0	37259.0	43574.0	63546.0	50465.0	28331.0	39386.0	54492.0	120395.0	81126.0	75935.0	54829.0	63207.0	57234.0	42292.0	52371.0	110402.0	31285.0	47030.0	37205.0	42300.0	42400.0	15852.0	39233.0	27131.0	70743.0	23891.0	38731.0	38752.0	25923.0	37552.0	45844.0	32550.0	36306.0	20556.0	16922.0	34848.0	66857.0	54741.0	61573.0	61536.0	64476.0	36628.0	65838.0	80568.0	22573.0	27990.0	77684.0	87357.0	19682.0	36069.0	25543.0	75962.0	27041.0	82403.0	72258.0	83178.0	78787.0	52597.0	41994.0	65048.0	67986.0	43911.0	95666.0	33201.0	25472.0	21379.0	103810.0	75760.0	86131.0	29974.0	26610.0	12704.0	31694.0	29030.0	37559.0	43041.0	68651.0	112587.0	36239.0	25831.0	48117.0	50133.0	31258.0	9924.0	31933.0	28140.0	45172.0	13905.0	46534.0	29540.0	40812.0	22831.0	25536.0	39106.0	65203.0	36958.0	41178.0	39623.0	26513.0	34320.0	35005.0	58036.0	42509.0	38089.0	65525.0	45908.0	34699.0	23588.0	67769.0	35500.0	39040.0	Organismal Systems; Endocrine System; Adipocytokine signaling pathway
African trypanosomiasis	55.0	149.0	1591.0	110.0	331.0	214.0	144.0	2739.0	236.0	101.0	909.0	455.0	168.0	74.0	83.0	1399.0	261.0	625.0	272.0	497.0	618.0	248.0	704.0	533.0	93.0	356.0	986.0	219.0	1104.0	247.0	637.0	311.0	1046.0	1424.0	513.0	549.0	73.0	482.0	767.0	125.0	993.0	2189.0	2223.0	1837.0	958.0	2806.0	1809.0	763.0	292.0	703.0	776.0	223.0	553.0	213.0	60.0	3720.0	747.0	207.0	1915.0	1070.0	171.0	551.0	1602.0	152.0	2229.0	229.0	1204.0	478.0	136.0	532.0	485.0	1642.0	1625.0	1119.0	196.0	23.0	481.0	76.0	1524.0	636.0	2591.0	262.0	305.0	620.0	1157.0	64.0	50.0	389.0	156.0	123.0	1107.0	129.0	3283.0	71.0	2413.0	51.0	118.0	864.0	1425.0	1643.0	92.0	67.0	106.0	260.0	29.0	50.0	217.0	256.0	1254.0	150.0	135.0	278.0	94.0	190.0	407.0	67.0	280.0	88.0	341.0	2108.0	84.0	609.0	91.0	98.0	632.0	460.0	2186.0	51.0	29.0	1668.0	717.0	204.0	264.0	1221.0	535.0	570.0	35.0	798.0	666.0	246.0	6048.0	58.0	177.0	1906.0	127.0	162.0	179.0	629.0	218.0	1215.0	17.0	115.0	1481.0	243.0	122.0	345.0	72.0	256.0	346.0	68.0	128.0	23.0	443.0	53.0	138.0	619.0	32.0	193.0	9.0	241.0	99.0	42.0	215.0	1178.0	Human Diseases; Infectious Diseases; African trypanosomiasis
Alanine, aspartate and glutamate metabolism	548882.0	577127.0	307917.0	1165136.0	767580.0	428563.0	772043.0	793819.0	487589.0	426673.0	1771655.0	563721.0	968119.0	679193.0	395937.0	490559.0	365067.0	595279.0	425611.0	817896.0	913501.0	468511.0	538384.0	392538.0	562569.0	257074.0	527209.0	383865.0	663304.0	313181.0	443328.0	684657.0	485645.0	1190794.0	451552.0	878530.0	451891.0	581949.0	833486.0	335443.0	760622.0	1226777.0	943710.0	1232272.0	417321.0	1401122.0	695508.0	600247.0	477961.0	1259841.0	727272.0	802399.0	685781.0	344133.0	132037.0	307457.0	706334.0	381840.0	669211.0	540796.0	537698.0	532127.0	691104.0	441747.0	577639.0	892400.0	747974.0	531187.0	760280.0	680449.0	1678874.0	1085872.0	853612.0	742168.0	856893.0	597602.0	506410.0	615494.0	1216084.0	335635.0	975114.0	441573.0	710216.0	668235.0	513783.0	563689.0	311909.0	889221.0	397446.0	522338.0	465150.0	368992.0	501814.0	618807.0	532312.0	530411.0	248185.0	389973.0	655518.0	870123.0	591590.0	630545.0	732179.0	796711.0	418629.0	675511.0	869379.0	325310.0	426455.0	815644.0	997445.0	290371.0	398923.0	349194.0	1278496.0	386496.0	918060.0	1065137.0	942114.0	1027825.0	609930.0	536179.0	768860.0	858449.0	618334.0	1147519.0	506493.0	332583.0	285509.0	1179782.0	957930.0	1289743.0	470081.0	395876.0	250727.0	537024.0	341746.0	602815.0	783365.0	896971.0	1294045.0	823847.0	381936.0	849609.0	826021.0	394789.0	186268.0	496682.0	591190.0	505101.0	283371.0	692237.0	390269.0	740942.0	356444.0	302228.0	639185.0	773776.0	719043.0	460861.0	483775.0	323781.0	648593.0	417936.0	674130.0	554566.0	714801.0	793143.0	610890.0	562757.0	288219.0	702493.0	456391.0	365331.0	Metabolism; Amino Acid Metabolism; Alanine, aspartate and glutamate metabolism
Aldosterone-regulated sodium reabsorption	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Organismal Systems; Excretory System; Aldosterone-regulated sodium reabsorption
Alzheimer's disease	28160.0	29088.0	15387.0	38270.0	36975.0	19740.0	35813.0	31756.0	24478.0	22781.0	79964.0	24926.0	37148.0	25885.0	14810.0	19016.0	14555.0	23306.0	15362.0	32853.0	33279.0	12844.0	23121.0	23291.0	19791.0	9633.0	20296.0	18888.0	28343.0	15158.0	20776.0	26944.0	20563.0	50992.0	17097.0	39827.0	21005.0	29029.0	37992.0	15148.0	32464.0	53443.0	39704.0	56050.0	17998.0	53000.0	29222.0	25516.0	18593.0	48747.0	27637.0	29308.0	30538.0	16430.0	6301.0	13851.0	30619.0	14694.0	30700.0	24293.0	18575.0	24480.0	28161.0	16448.0	24161.0	44465.0	29146.0	22133.0	35382.0	31667.0	64634.0	46328.0	29958.0	29963.0	30371.0	29616.0	25483.0	32498.0	47272.0	13034.0	38696.0	16793.0	29010.0	28260.0	20381.0	20833.0	10781.0	43864.0	19839.0	21674.0	18473.0	16717.0	25109.0	25038.0	22840.0	18647.0	12323.0	14964.0	29171.0	32926.0	31040.0	34366.0	36939.0	35461.0	14263.0	36656.0	28727.0	14988.0	21064.0	26154.0	33080.0	12050.0	17765.0	15372.0	50154.0	18655.0	27658.0	35679.0	28676.0	39095.0	20720.0	19543.0	38952.0	34989.0	26649.0	45061.0	23457.0	12016.0	13119.0	42008.0	37723.0	46667.0	21476.0	17252.0	12956.0	22086.0	13138.0	23629.0	28723.0	39337.0	53465.0	31944.0	16534.0	33639.0	30584.0	16523.0	9167.0	20201.0	24718.0	16190.0	10615.0	25403.0	17015.0	27904.0	13835.0	15410.0	24216.0	34155.0	27771.0	20729.0	19219.0	15564.0	24731.0	14179.0	26511.0	20049.0	25952.0	36427.0	21017.0	21070.0	12380.0	33485.0	16716.0	11380.0	Human Diseases; Neurodegenerative Diseases; Alzheimer's disease
Amino acid metabolism	76696.0	84932.0	56828.0	222269.0	106796.0	57907.0	122948.0	135677.0	69766.0	84406.0	288968.0	88740.0	165069.0	106690.0	65026.0	76077.0	60116.0	85603.0	64371.0	128271.0	142721.0	83121.0	84534.0	62601.0	83838.0	39932.0	82916.0	68213.0	85658.0	57843.0	71838.0	98970.0	85299.0	162381.0	81380.0	142680.0	73319.0	111751.0	144397.0	49504.0	115338.0	201389.0	153420.0	192970.0	58070.0	208214.0	103490.0	92040.0	70028.0	177618.0	114469.0	128596.0	102993.0	50356.0	19313.0	48099.0	89457.0	61579.0	80454.0	90414.0	75778.0	91801.0	98452.0	65875.0	85269.0	157708.0	151078.0	77048.0	110839.0	119119.0	216748.0	169628.0	148338.0	125241.0	127573.0	92072.0	77009.0	114891.0	193704.0	50893.0	124147.0	73396.0	98506.0	93621.0	106184.0	78096.0	53508.0	147996.0	67347.0	74437.0	75297.0	56056.0	87914.0	98482.0	88777.0	73818.0	42135.0	58922.0	103403.0	158964.0	94962.0	112031.0	115776.0	110246.0	64372.0	118425.0	122355.0	59541.0	70568.0	110819.0	142027.0	45388.0	61075.0	61790.0	168575.0	51068.0	145277.0	201115.0	151976.0	187874.0	91967.0	77984.0	123523.0	122971.0	82161.0	179442.0	79471.0	45118.0	40560.0	196250.0	147258.0	176132.0	67163.0	59174.0	41748.0	75074.0	53605.0	77280.0	131990.0	116818.0	161132.0	151731.0	60101.0	138039.0	133426.0	47123.0	34748.0	61736.0	79691.0	83609.0	45954.0	130605.0	50056.0	109960.0	49466.0	44637.0	89524.0	123315.0	94361.0	61327.0	82888.0	37926.0	81867.0	62568.0	118442.0	88307.0	123333.0	113201.0	96559.0	91534.0	41293.0	121219.0	68947.0	63298.0	Unclassified; Metabolism; Amino acid metabolism
Amino acid related enzymes	835660.0	871386.0	437937.0	1350273.0	1108402.0	599715.0	1095795.0	1099082.0	734528.0	699422.0	2450512.0	786603.0	1206100.0	852358.0	505769.0	606620.0	466344.0	741022.0	499137.0	1045252.0	1098573.0	516577.0	712391.0	635276.0	699403.0	311483.0	645812.0	576404.0	937412.0	465294.0	614016.0	892903.0	647751.0	1580675.0	560833.0	1275071.0	646964.0	878724.0	1173051.0	463307.0	1017772.0	1661827.0	1248691.0	1720764.0	565240.0	1723122.0	920980.0	803375.0	602369.0	1588326.0	902742.0	974952.0	947509.0	491709.0	190092.0	426192.0	993339.0	486166.0	969708.0	780109.0	621916.0	779610.0	953831.0	541362.0	769924.0	1316815.0	970325.0	711136.0	1051765.0	978211.0	2110400.0	1445729.0	975677.0	961875.0	1024741.0	890689.0	752715.0	988220.0	1492966.0	412507.0	1319593.0	548134.0	948261.0	894333.0	762859.0	703768.0	365880.0	1325134.0	575256.0	665561.0	571751.0	509606.0	702695.0	775913.0	694224.0	632074.0	370800.0	589721.0	912863.0	1066300.0	930779.0	1031080.0	1125810.0	1092852.0	487988.0	1100060.0	969746.0	453035.0	593040.0	890972.0	1131405.0	385350.0	536575.0	475459.0	1635221.0	561510.0	965483.0	1258293.0	998811.0	1260847.0	703828.0	646889.0	1188886.0	1110786.0	837068.0	1416398.0	696334.0	403444.0	400425.0	1372856.0	1217715.0	1580597.0	663103.0	521621.0	390820.0	712633.0	423847.0	784649.0	992525.0	1226374.0	1650771.0	1105234.0	518822.0	1127493.0	1027660.0	516465.0	286468.0	658562.0	815499.0	562493.0	366649.0	810574.0	526908.0	944437.0	451585.0	459674.0	831981.0	1066611.0	933969.0	629520.0	624150.0	465398.0	838455.0	486804.0	857045.0	651038.0	883582.0	1110563.0	717823.0	724145.0	386070.0	1023173.0	542164.0	388266.0	Metabolism; Amino Acid Metabolism; Amino acid related enzymes
