pvals	adj.pvals	coeffs
Unassigned;Other	0.0430951535248163	0.335996086219631	-0.00402462914029339
k__Archaea;p__Euryarchaeota	0.051691705572251	0.335996086219631	-0.0200447040230713
k__Bacteria;Other	0.374164858959823	0.62055341391622	-0.000721945184416567
k__Bacteria;p__Actinobacteria	0.110938945173954	0.480735429087133	-0.0207075329432471
k__Bacteria;p__Bacteroidetes	0.369935087519393	0.62055341391622	0.0349745461169174
k__Bacteria;p__Cyanobacteria	0.784805597403903	0.908420915274632	0.000930657181353804
k__Bacteria;p__Firmicutes	0.460585139597343	0.665289646085052	-0.0262902169811757
k__Bacteria;p__Fusobacteria	0.742095994515106	0.908420915274632	0.00221706024085796
k__Bacteria;p__Lentisphaerae	0.381879023948443	0.62055341391622	-0.00234399818900176
k__Bacteria;p__Proteobacteria	0.355881724092221	0.62055341391622	0.0116269863199855
k__Bacteria;p__Synergistetes	0.93505789199896	0.93505789199896	-0.000111978619531833
k__Bacteria;p__Tenericutes	0.83854238333043	0.908420915274632	0.00273007966400489
k__Bacteria;p__Verrucomicrobia	0.350029248415275	0.62055341391622	-0.0129073835540777
