Delta Taxon ~ Delta Clinical
ISO 
delta_clinical ~ delta_taxa:
	pvals	adj.pvals	coeffs
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter	0.546904051797854	1	341.587379835006
k__Bacteria;Other;Other;Other;Other;Other	0.696363193895343	1	2845.28848415688
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces	0.293838066874715	1	-6329.09552934777
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia	0.460115392834414	1	-10481.9344630925
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;Other	0.0245164410118021	1	7968.84600690644
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	0.799720514770848	1	-116.082062052686
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__	0.859872360858247	1	177.477488591241
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Adlercreutzia	0.348656805323332	1	1984.86398136075
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Atopobium	0.652431302665565	1	5718.0621326379
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella	0.180911087903573	1	1250.46731498715
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Eggerthella	0.927149214577738	1	-387.194807428109
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Slackia	0.174621401436299	1	3497.4485933152
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;Other;Other	0.890156762305195	1	61.3882186256145
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__;g__	0.0769807551662403	1	988.453005750934
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	0.806533836436178	1	-38.4110852570885
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides	0.0152786085730322	1	-1175.99339721925
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas	0.859513467829872	1	967.291353665575
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	0.86297373664045	1	22.131438012074
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;Other	0.25774954292766	1	1124.95618841007
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__	0.800653082661401	1	116.193360544233
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes	0.826339384527063	1	1952.15388307673
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__S24-7;g__	0.346807691144402	1	781.22626701428
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Barnesiellaceae];g__	0.365463344048698	1	-556.19171502264
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae];g__Butyricimonas	0.601814124329236	1	-959.237521713296
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae];g__Odoribacter	0.830783215524292	1	478.711681415306
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__	0.698397132009702	1	548.975677382957
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__Paraprevotella	0.141106790030786	1	726.889914966738
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__[Prevotella]	0.186271525847892	1	-624.504873522968
k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__YS2;f__;g__	0.82659498543608	1	380.441801604787
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Streptophyta;f__;g__	0.664599249743347	1	5580.9152782225
k__Bacteria;p__Firmicutes;Other;Other;Other;Other	0.727786717527005	1	-3848.24893877938
k__Bacteria;p__Firmicutes;c__Bacilli;Other;Other;Other	0.363696480622605	1	22681.5779489844
k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales;f__Gemellaceae;g__	0.189441294355493	1	-12992.7154336337
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;Other;Other	0.302688404958484	1	-6890.97241937518
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus	0.737032292917671	1	-490.600394329759
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__	0.778879983994133	1	3833.53496708079
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Leuconostoc	0.641235862921333	1	-5309.5074766642
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus	0.899339264947077	1	-424.634833182234
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	0.553469998142103	1	673.361213447873
k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales;f__Turicibacteraceae;g__Turicibacter	0.674559605058116	1	808.284574500605
k__Bacteria;p__Firmicutes;c__Clostridia;Other;Other;Other	0.620936649189884	1	-4511.96899086066
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;Other;Other	0.458841923365908	1	487.468448944814
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__	0.646232779680629	1	-141.365127836387
