Delta Taxon ~ Delta Clinical
N_STOOLS 
delta_clinical ~ delta_taxa
Group A:
	pvals	adj.pvals	coeffs
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter	0.151141061991006	0.86036137750056	4.89163229391167
k__Bacteria;Other;Other;Other;Other;Other	0.297355942263968	0.86036137750056	55.2295044432974
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces	0.232016764051628	0.86036137750056	53.1143276094148
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia	0.952056179740996	0.996214261700591	-6.19036528876135
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;Other	0.996214261700591	0.996214261700591	-0.225113005981289
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	0.94557467014199	0.996214261700591	-0.230817540104944
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__	0.143819246149247	0.86036137750056	9.35936484738486
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Adlercreutzia	0.101462924760422	0.86036137750056	27.9724801342557
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Atopobium	0.311111789728687	0.86036137750056	107.909910986343
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella	0.0459479804057319	0.86036137750056	11.647031549907
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Eggerthella	0.381729259352303	0.86036137750056	32.5629357988731
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Slackia	0.723302194563227	0.992976418600535	5.79000946163027
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;Other;Other	0.988911155419038	0.996214261700591	-0.046774450036396
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__;g__	0.743526139499586	0.992976418600535	-1.43047409050381
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	0.249442079582379	0.86036137750056	-1.35414490842299
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides	0.144617930203162	0.86036137750056	-6.84507914961774
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas	0.368687360114964	0.86036137750056	-34.1618623472673
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	0.92915946596894	0.996214261700591	0.103307052632452
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;Other	0.89090937513875	0.992976418600535	-2.38044299785799
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__	0.554445518779143	0.935264568490617	-2.34071727819426
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes	0.549838636292736	0.935264568490617	-53.5314793482965
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__S24-7;g__	0.659917288592672	0.982153339935727	3.24266730242768
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Barnesiellaceae];g__	0.962933404445256	0.996214261700591	0.187402923124222
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae];g__Butyricimonas	0.646038087457407	0.982153339935727	-6.19472398379419
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae];g__Odoribacter	0.118380283672065	0.86036137750056	-27.1195889635964
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__	0.837070379839232	0.992976418600535	1.91995988893605
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__Paraprevotella	0.119733755673549	0.86036137750056	-5.53075551175791
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__[Prevotella]	0.0602795098011001	0.86036137750056	6.44491296762423
k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__YS2;f__;g__	0.844756961787497	0.992976418600535	4.11735410486227
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Streptophyta;f__;g__	0.492872549874337	0.935264568490617	87.6390091517658
k__Bacteria;p__Firmicutes;Other;Other;Other;Other	0.363909561858876	0.86036137750056	65.3798599616473
k__Bacteria;p__Firmicutes;c__Bacilli;Other;Other;Other	0.946418599123376	0.996214261700591	-15.7289601276404
k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales;f__Gemellaceae;g__	0.860427013459324	0.992976418600535	17.9572937873877
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;Other;Other	0.565849424815799	0.935264568490617	33.6474191500452
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus	0.179401950198051	0.86036137750056	-66.6846171907183
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__	0.381439552375487	0.86036137750056	98.2169620707408
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Leuconostoc	0.867179886034819	0.992976418600535	-14.1020649471561
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus	0.877288906206335	0.992976418600535	3.76646978400183
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	0.680311188917315	0.990884307689727	4.28101869925559
k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales;f__Turicibacteraceae;g__Turicibacter	0.307955864635149	0.86036137750056	14.8227788280006
k__Bacteria;p__Firmicutes;c__Clostridia;Other;Other;Other	0.381991284386719	0.86036137750056	65.2228468172576
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;Other;Other	0.20015283785605	0.86036137750056	8.90714968636409
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__	0.906001972910215	0.992976418600535	-0.26404938113699
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae;g__	0.191913350435812	0.86036137750056	4.70361273481435
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae;g__Christensenella	0.908825874651337	0.992976418600535	5.38958150550135
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;Other	0.57611030201957	0.935264568490617	11.3318467208944
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__	0.0795939652619939	0.86036137750056	14.3754664685272
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium	0.762821666611622	0.992976418600535	-3.26097777647074
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__SMB53	0.44063799591207	0.89647040547628	34.5699002726656
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Dehalobacteriaceae;g__Dehalobacterium	0.141214295076154	0.86036137750056	38.0592820054179
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__EtOH8;g__	0.600590897257305	0.935264568490617	-30.3179183939372
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Anaerofustis	0.1325781481914	0.86036137750056	88.1133146677441
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;Other	0.816992041495913	0.992976418600535	2.14471607200484
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__	0.373279206599118	0.86036137750056	1.96983794379422
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Anaerostipes	0.217960953481505	0.86036137750056	-12.2685749359772
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia	0.34057442872082	0.86036137750056	3.36350914832628
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus	0.0169750436071996	0.86036137750056	10.9962459833212
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea	0.413113799834746	0.881317281512954	5.89499871477266
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospira	0.0222875007269516	0.86036137750056	-10.7728278757523
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Oribacterium	0.767792946212344	0.992976418600535	48.2480316429464
