Spearman's Correlation: Delta Taxon ~ Delta Clinical
BMI 
delta_clinical ~ delta_taxa
Group A:
	adj.pvals	coeffs
Alanine, aspartate and glutamate metabolism	0.962582712653091	-0.0508097165991903
Amino acid related enzymes	0.962582712653091	-0.0508097165991903
Amino sugar and nucleotide sugar metabolism	0.962582712653091	-0.082995951417004
Arginine and proline metabolism	0.962582712653091	-0.0135627530364372
Ascorbate and aldarate metabolism	0.962582712653091	-0.0836032388663968
Biosynthesis of unsaturated fatty acids	0.962582712653091	-0.160121457489879
Butanoate metabolism	0.962582712653091	-0.0663967611336032
Valine, leucine and isoleucine biosynthesis	0.962582712653091	-0.044331983805668
Steroid biosynthesis	0.962582712653091	-0.0845143512390261
Cyanoamino acid metabolism	0.962582712653091	0.0981781376518219
Cysteine and methionine metabolism	0.962582712653091	-0.109919028340081
D-Alanine metabolism	0.962582712653091	-0.155263157894737
D-Arginine and D-ornithine metabolism	0.962582712653091	0.165789473684211
D-Glutamine and D-glutamate metabolism	0.962582712653091	-0.0534412955465587
Ether lipid metabolism	0.962582712653091	0.0431174089068826
Fatty acid biosynthesis	0.962582712653091	-0.0836032388663968
Fatty acid metabolism	0.962582712653091	-0.068421052631579
Fructose and mannose metabolism	0.962582712653091	-0.15668016194332
Galactose metabolism	0.962582712653091	-0.0289473684210526
Glycosyltransferases	0.962582712653091	0.0439271255060729
Glycerolipid metabolism	0.962582712653091	0.118825910931174
Glycerophospholipid metabolism	0.962582712653091	0.011336032388664
Glycine, serine and threonine metabolism	0.962582712653091	-0.160323886639676
Glycolysis / Gluconeogenesis	0.962582712653091	-0.147165991902834
Glycosphingolipid biosynthesis - lacto and neolacto series	0.962582712653091	0.0562753036437247
Glyoxylate and dicarboxylate metabolism	0.962582712653091	0.0724696356275304
Histidine metabolism	0.962582712653091	0.0117408906882591
Inositol phosphate metabolism	0.962582712653091	-0.0587044534412955
Lipid biosynthesis proteins	0.962582712653091	0.0823886639676113
Lipopolysaccharide biosynthesis proteins	0.962582712653091	0.0133603238866397
Lysine biosynthesis	0.962582712653091	-0.161538461538462
Lysine degradation	0.962582712653091	-0.0360323886639676
N-Glycan biosynthesis	0.962582712653091	-0.0178137651821862
Other glycan degradation	0.962582712653091	-0.0123481781376518
Pentose and glucuronate interconversions	0.962582712653091	0.0323886639676113
Pentose phosphate pathway	0.962582712653091	-0.0236842105263158
Peptidoglycan biosynthesis	0.962582712653091	-0.0840080971659919
Phenylalanine metabolism	0.962582712653091	0.149392712550607
Phenylalanine, tyrosine and tryptophan biosynthesis	0.962582712653091	-0.0394736842105263
Phosphonate and phosphinate metabolism	0.962582712653091	-0.0688259109311741
Primary bile acid biosynthesis	0.962582712653091	0.0997975708502024
Propanoate metabolism	0.984387468891631	-0.00323886639676113
Purine metabolism	0.962582712653091	-0.108704453441296
Pyrimidine metabolism	0.962582712653091	-0.145141700404858
Pyruvate metabolism	0.962582712653091	-0.0558704453441296
Selenocompound metabolism	0.962582712653091	-0.0902834008097166
Starch and sucrose metabolism	0.962582712653091	0.0605263157894737
Steroid hormone biosynthesis	0.962582712653091	0.0576923076923077
Synthesis and degradation of ketone bodies	0.962582712653091	0.0983805668016194
Taurine and hypotaurine metabolism	0.962582712653091	-0.0777327935222672
Tryptophan metabolism	0.962582712653091	-0.0688259109311741
Tyrosine metabolism	0.962582712653091	-0.119028340080972
Valine, leucine and isoleucine degradation	0.962582712653091	0.0362348178137652
Various types of N-glycan biosynthesis	0.962582712653091	-0.0586905216937681
alpha-Linolenic acid metabolism	0.962582712653091	0.121255060728745
beta-Alanine metabolism	0.962582712653091	-0.0718623481781377
BMI 
delta_clinical ~ delta_taxa
Group B:
	adj.pvals	coeffs
Alanine, aspartate and glutamate metabolism	0.640993011784129	0.257686836634205
Amino acid related enzymes	0.806328928961404	-0.147609147609148
Amino sugar and nucleotide sugar metabolism	0.806328928961404	0.161396214027793
Arginine and proline metabolism	0.731235318360184	0.181967392493708
Ascorbate and aldarate metabolism	0.928870954923955	0.0473793631688368
Biosynthesis of unsaturated fatty acids	0.640993011784129	-0.228580807528176
Butanoate metabolism	0.928870954923955	0.051537367326841
Valine, leucine and isoleucine biosynthesis	0.928870954923955	-0.0902724586935113
Steroid biosynthesis	0.640993011784129	0.239727276898874
Cyanoamino acid metabolism	0.928870954923955	0.064230222124959
Cysteine and methionine metabolism	0.928870954923955	-0.0493489440857862
D-Alanine metabolism	0.806328928961404	-0.143888828099354
D-Arginine and D-ornithine metabolism	0.731235318360184	-0.182623919466025
D-Glutamine and D-glutamate metabolism	0.928870954923955	0.081956450377503
Ether lipid metabolism	0.640993011784129	-0.281321807637597
Fatty acid biosynthesis	0.731235318360184	0.191158770106139
Fatty acid metabolism	0.928870954923955	-0.063792537476748
Fructose and mannose metabolism	0.959960085961796	-0.00951964109858847
Galactose metabolism	0.640993011784129	0.301892986103512
Glycosyltransferases	0.959960085961796	0.0125834336360652
Glycerolipid metabolism	0.928870954923955	-0.0486924171134697
Glycerophospholipid metabolism	0.928870954923955	-0.105810263705001
Glycine, serine and threonine metabolism	0.959960085961796	-0.0189298610351242
Glycolysis / Gluconeogenesis	0.959960085961796	0.0189298610351242
Glycosphingolipid biosynthesis - lacto and neolacto series	0.731235318360184	0.207353102089944
Glyoxylate and dicarboxylate metabolism	0.731235318360184	0.197942882153408
Histidine metabolism	0.640993011784129	0.243462085567349
Inositol phosphate metabolism	0.734457652852128	0.176715176715177
Lipid biosynthesis proteins	0.640993011784129	0.23033154612102
Lipopolysaccharide biosynthesis proteins	0.928870954923955	0.0469416785206259
Lysine biosynthesis	0.928870954923955	-0.0585403216982164
