SERUMPK 
taxa ~ clinical_var
	pvals	adj.pvals	coeffs
Alanine, aspartate and glutamate metabolism	0.614049836770996	0.924638133257744	-0.00015110283200368
Amino acid related enzymes	0.702853024957105	0.924638133257744	0.000130289814986756
Amino sugar and nucleotide sugar metabolism	0.28456433745878	0.924638133257744	-0.000505607717998406
Arginine and proline metabolism	0.393368968215652	0.924638133257744	-0.000437471471337435
Ascorbate and aldarate metabolism	0.985745736936428	0.989072745312709	4.59039961677924e-06
Biosynthesis of unsaturated fatty acids	0.960407939330079	0.989072745312709	-1.02072689618046e-05
Butanoate metabolism	0.451491898386388	0.924638133257744	0.00021858401378743
Valine, leucine and isoleucine biosynthesis	0.940721713927501	0.989072745312709	-4.70092028342274e-05
Steroid biosynthesis	0.312598878290915	0.924638133257744	-0.000297862853142319
Cyanoamino acid metabolism	0.407613099591221	0.924638133257744	-0.000411392890066327
Cysteine and methionine metabolism	0.202420100410094	0.924638133257744	0.000301065952127693
D-Alanine metabolism	0.743835402304423	0.925661833978837	5.50792191480962e-05
D-Arginine and D-ornithine metabolism	0.144607355406462	0.924638133257744	-0.000306972180844256
D-Glutamine and D-glutamate metabolism	0.989072745312709	0.989072745312709	-1.98989834286411e-06
Ether lipid metabolism	0.597347826699898	0.924638133257744	-6.66421910944555e-05
Fatty acid biosynthesis	0.860959042265812	0.989072745312709	-4.38269954726648e-05
Fatty acid metabolism	0.702267604692419	0.924638133257744	-6.89557669926642e-05
Fructose and mannose metabolism	0.365599546052922	0.924638133257744	-0.000384941727871938
Galactose metabolism	0.28148106051722	0.924638133257744	-0.000723390247166077
Glycosyltransferases	0.944716467299505	0.989072745312709	3.56044046225579e-05
Glycerolipid metabolism	0.888068345633472	0.989072745312709	-6.82212332135047e-05
Glycerophospholipid metabolism	0.691469727809831	0.924638133257744	-0.00012725306520737
Glycine, serine and threonine metabolism	0.923512593451949	0.989072745312709	1.9444213840406e-05
Glycolysis / Gluconeogenesis	0.296158902259	0.924638133257744	-0.00031273265981625
Glycosphingolipid biosynthesis - lacto and neolacto series	0.224067054158279	0.924638133257744	-0.000230271228587768
Glyoxylate and dicarboxylate metabolism	0.849998398620083	0.989072745312709	-7.02813459646739e-05
Histidine metabolism	0.328140734118875	0.924638133257744	-0.000491540785723122
Inositol phosphate metabolism	0.218369018834543	0.924638133257744	-0.000301804505140913
Lipid biosynthesis proteins	0.267741851289965	0.924638133257744	-0.000242512431972418
Lipopolysaccharide biosynthesis proteins	0.765896062408922	0.932395206410862	-0.000405447919302231
Lysine biosynthesis	0.551854832728541	0.924638133257744	0.000174959084979409
Lysine degradation	0.213883492215202	0.924638133257744	-0.000216875738481115
N-Glycan biosynthesis	0.641379969446923	0.924638133257744	-0.000137334851905426
Other glycan degradation	0.405158400935877	0.924638133257744	-0.000987164790685362
Pentose and glucuronate interconversions	0.351970148260755	0.924638133257744	-0.000863246990762071
Pentose phosphate pathway	0.32478012753206	0.924638133257744	-0.000405702857764545
Peptidoglycan biosynthesis	0.604103802285026	0.924638133257744	0.000243268292178453
Phenylalanine metabolism	0.579942598327853	0.924638133257744	-0.000120872087535223
Phenylalanine, tyrosine and tryptophan biosynthesis	0.210817841289379	0.924638133257744	0.000340044241945589
Phosphonate and phosphinate metabolism	0.376171892589304	0.924638133257744	-0.000340768524634414
Primary bile acid biosynthesis	0.239054165381726	0.924638133257744	-0.000452264529631451
Propanoate metabolism	0.675816864231709	0.924638133257744	-0.00010525047718255
Purine metabolism	0.620626504144342	0.924638133257744	0.000292313746968638
Pyrimidine metabolism	0.615022491234776	0.924638133257744	0.000306114260257442
Pyruvate metabolism	0.420397461642433	0.924638133257744	-0.000432418379791071
Selenocompound metabolism	0.680797421896524	0.924638133257744	6.99522841642829e-05
Starch and sucrose metabolism	0.194906955228133	0.924638133257744	-0.0007416549618828
Steroid hormone biosynthesis	0.226879891376453	0.924638133257744	-0.000667388320899603
Synthesis and degradation of ketone bodies	0.536002742659589	0.924638133257744	0.000139524156957289
Taurine and hypotaurine metabolism	0.926286099585422	0.989072745312709	-1.58339664458056e-05
Tryptophan metabolism	0.549155045843619	0.924638133257744	-0.000113096648530166
Tyrosine metabolism	0.362761136712248	0.924638133257744	-0.000160870192849444
Valine, leucine and isoleucine degradation	0.452299489401663	0.924638133257744	-0.000200497585895136
Various types of N-glycan biosynthesis	0.709989995180054	0.924638133257744	5.26293632631094e-05
alpha-Linolenic acid metabolism	0.735089429096946	0.925661833978837	4.82123236126879e-05
beta-Alanine metabolism	0.298380407653296	0.924638133257744	0.000258293664920884
MK4 
taxa ~ clinical_var
	pvals	adj.pvals	coeffs
Alanine, aspartate and glutamate metabolism	0.0607527453348298	0.200126690514734	-0.00039988120650523
Amino acid related enzymes	0.482068497725191	0.692200919810531	0.000172614866403709
Amino sugar and nucleotide sugar metabolism	0.00787842920958542	0.181057686964208	-0.000885362189645519
Arginine and proline metabolism	0.758296217994037	0.884678920993043	0.00011378064227382
Ascorbate and aldarate metabolism	0.23714522539557	0.474290450791141	-0.000217566986128682
Biosynthesis of unsaturated fatty acids	0.41617952703686	0.62332934209324	0.00012006226384192
Butanoate metabolism	0.735809604602666	0.884678920993043	7.06194393330221e-05
Valine, leucine and isoleucine biosynthesis	0.0533044566680584	0.199585468566945	0.000867976822159583
Steroid biosynthesis	0.587371030029473	0.783161373372631	0.000115511613681778
Cyanoamino acid metabolism	0.0554347520223638	0.199585468566945	-0.000677875791522999
Cysteine and methionine metabolism	0.893117544437168	0.925477370441718	-2.29712695343421e-05
D-Alanine metabolism	0.642906704487551	0.831930421148835	5.6229837958351e-05
D-Arginine and D-ornithine metabolism	0.162984559103266	0.414869786808313	-0.000211440679320539
D-Glutamine and D-glutamate metabolism	0.0570244195905557	0.199585468566945	-0.000196538759116246
