Significant Taxon ~ Clinical at Timepoint
OR 
pvals	adj.pvals	coeffs
Amino sugar and nucleotide sugar metabolism	0.0102506113002388	0.0657379676542369	-0.000642957327997397
Biosynthesis of unsaturated fatty acids	0.020521124566462	0.080061189627023	0.000176732618842205
Butanoate metabolism	0.000869112474841193	0.0243351492955534	0.000457837252776878
Valine, leucine and isoleucine biosynthesis	0.00975776514998013	0.0657379676542369	0.000798892258060891
Fatty acid biosynthesis	0.0117389227953994	0.0657379676542369	0.000304936731804146
Glycosyltransferases	0.00947049170923532	0.0657379676542369	-0.000713714159982436
Glycerolipid metabolism	0.0113800932597217	0.0657379676542369	0.000599348308917365
Glycine, serine and threonine metabolism	0.0653182120427479	0.146312794975755	-0.000212084686710132
Glycosphingolipid biosynthesis - lacto and neolacto series	0.047455966566972	0.132647402647083	-0.000147176565100796
Lipopolysaccharide biosynthesis proteins	0.0155352348492278	0.0724977626297298	-0.00175454215113573
Lysine biosynthesis	0.0262736463033689	0.086409953741127	0.000352168661162146
N-Glycan biosynthesis	0.0228746256077209	0.080061189627023	-0.000354765441134944
Other glycan degradation	0.0217543049007947	0.080061189627023	-0.00141268166379317
Phenylalanine, tyrosine and tryptophan biosynthesis	0.0141648079777104	0.0721117497047075	0.000344734876831983
Propanoate metabolism	0.00084008121682058	0.0243351492955534	0.000396091810702188
Steroid hormone biosynthesis	0.00656545574604899	0.0657379676542369	-0.000777088693271711
Various types of N-glycan biosynthesis	0.00185585880715485	0.0259820233001678	0.000232118594470018
beta-Alanine metabolism	0.00139860433025558	0.0259820233001678	-0.000409455161734858
BPSAVG 
pvals	adj.pvals	coeffs
Amino acid related enzymes	0.0494796140903487	0.203193985749977	6.95220866065878e-05
Ascorbate and aldarate metabolism	0.0856295943025187	0.228345584806717	-4.22488036996018e-05
Steroid biosynthesis	0.0366814070937858	0.203193985749977	-4.04953032344251e-05
Cysteine and methionine metabolism	0.0408188291814066	0.203193985749977	4.5607875857347e-05
D-Alanine metabolism	0.0950523272862664	0.24195137854686	3.02387559324419e-05
Glycine, serine and threonine metabolism	0.0134686400225721	0.197660984090683	5.61516983756193e-05
Glycosphingolipid biosynthesis - lacto and neolacto series	0.053481874871218	0.203193985749977	-2.85989161523125e-05
Histidine metabolism	0.0249754907510181	0.199803926008145	-0.000109019823555899
Inositol phosphate metabolism	0.0374304311140094	0.203193985749977	-5.10166694573111e-05
Lipid biosynthesis proteins	0.0711314366318319	0.21832932767407	-3.67677297265661e-05
Lysine degradation	0.0779747598835964	0.21832932767407	-2.69575412083768e-05
Pentose and glucuronate interconversions	0.0184353771106262	0.197660984090683	-0.000208578754518654
Peptidoglycan biosynthesis	0.0148140044183212	0.197660984090683	0.000114100719320427
Phenylalanine metabolism	0.011129019814982	0.197660984090683	-5.36744278319235e-05
Phosphonate and phosphinate metabolism	0.0211779625811446	0.197660984090683	-8.47493205087622e-05
Primary bile acid biosynthesis	0.0544269604687438	0.203193985749977	-7.39322496656435e-05
Purine metabolism	0.0442630370186656	0.203193985749977	0.000122395423200029
Pyruvate metabolism	0.0621168964448388	0.217409137556936	-9.70677947644044e-05
Selenocompound metabolism	0.00863100294101446	0.197660984090683	4.13260649571931e-05
Steroid hormone biosynthesis	0.0763858844435854	0.21832932767407	-0.000102478105721195
Various types of N-glycan biosynthesis	0.0712673990101263	0.21832932767407	-2.74160133000706e-05
alpha-Linolenic acid metabolism	0.101836472582986	0.243938594385084	-2.74499689717996e-05
beta-Alanine metabolism	0.0342659737715296	0.203193985749977	5.51542734283704e-05
