Delta Taxon ~ Delta Clinical
FM 
delta_clinical ~ delta_taxa:
	pvals	adj.pvals	coeffs
Alanine, aspartate and glutamate metabolism	0.256536305105421	0.725902353557295	83.690418325072
Amino acid related enzymes	0.484800846332555	0.757547198040216	-67.2151080957998
Amino sugar and nucleotide sugar metabolism	0.369369972664185	0.725902353557295	42.8957098846449
Arginine and proline metabolism	0.260770474652234	0.725902353557295	62.2213279363917
Ascorbate and aldarate metabolism	0.55463276999373	0.757547198040216	57.0689136113081
Biosynthesis of unsaturated fatty acids	0.115798765941974	0.725902353557295	-161.675269693222
Butanoate metabolism	0.898895920378674	0.968041760407803	9.35151805411949
Valine, leucine and isoleucine biosynthesis	0.527505360183587	0.757547198040216	-27.9863975566673
Steroid biosynthesis	0.477611676806515	0.757547198040216	52.5262511264533
Cyanoamino acid metabolism	0.287729300119999	0.725902353557295	51.753044555561
Cysteine and methionine metabolism	0.388876260834265	0.725902353557295	-93.1833560772712
D-Alanine metabolism	0.196392923568073	0.725902353557295	-265.464144328111
D-Arginine and D-ornithine metabolism	0.0560361584216531	0.725902353557295	212.543452164205
D-Glutamine and D-glutamate metabolism	0.364027718261663	0.725902353557295	138.651397132043
Ether lipid metabolism	0.494045840965385	0.757547198040216	-123.56046120939
Fatty acid biosynthesis	0.448055225669233	0.757547198040216	-74.750541426947
Fatty acid metabolism	0.823618004640291	0.927240279384999	25.5328123110775
Fructose and mannose metabolism	0.576882295892307	0.769176394523076	-41.3285042664504
Galactose metabolism	0.137962145925601	0.725902353557295	63.2483201180671
Glycosyltransferases	0.52540881595396	0.757547198040216	28.719347955166
Glycerolipid metabolism	0.80443470535018	0.927240279384999	-12.5315479519268
Glycerophospholipid metabolism	0.668223309916497	0.838586775466245	-34.6555983844155
Glycine, serine and threonine metabolism	0.658461645647616	0.838586775466245	44.2654621789926
Glycolysis / Gluconeogenesis	0.934432290283068	0.969040893626885	-7.8520323973787
Glycosphingolipid biosynthesis - lacto and neolacto series	0.25059262202376	0.725902353557295	183.811544467463
Glyoxylate and dicarboxylate metabolism	0.0880069889516307	0.725902353557295	154.588543390394
Histidine metabolism	0.340421515228087	0.725902353557295	62.3707644603194
Inositol phosphate metabolism	0.0837280085740746	0.725902353557295	169.636628881227
Lipid biosynthesis proteins	0.273247697308642	0.725902353557295	133.988523791959
Lipopolysaccharide biosynthesis proteins	0.341448099159244	0.725902353557295	16.3632936689766
Lysine biosynthesis	0.353392314780695	0.725902353557295	-70.7134431143601
Lysine degradation	0.414963773362587	0.749611977687254	103.937144904738
N-Glycan biosynthesis	0.673864373142518	0.838586775466245	31.9170641933591
Other glycan degradation	0.115980640277822	0.725902353557295	32.9143736714307
Pentose and glucuronate interconversions	0.147871526124081	0.725902353557295	50.6673182608271
Pentose phosphate pathway	0.49864420108728	0.757547198040216	48.3932903929235
Peptidoglycan biosynthesis	0.0723359138294249	0.725902353557295	-111.867444962548
Phenylalanine metabolism	0.0763894165653039	0.725902353557295	198.096914635881
Phenylalanine, tyrosine and tryptophan biosynthesis	0.275187596009197	0.725902353557295	-93.6946822645584
Phosphonate and phosphinate metabolism	0.0873605305717586	0.725902353557295	109.919380877974
Primary bile acid biosynthesis	0.294814861772228	0.725902353557295	81.9720737042232
Propanoate metabolism	0.917438542181899	0.969040893626885	-9.66136504757583
Purine metabolism	0.971046004853002	0.98870138675942	-1.74203077435446
Pyrimidine metabolism	0.5527530117249	0.757547198040216	-30.5503395422318
Pyruvate metabolism	0.374791682171237	0.725902353557295	54.4431829994178
Selenocompound metabolism	0.53347214799403	0.757547198040216	73.1572281459298
Starch and sucrose metabolism	0.827893106593749	0.927240279384999	10.0495100168154
Steroid hormone biosynthesis	0.350625696337669	0.725902353557295	42.418001556583
Synthesis and degradation of ketone bodies	0.858235765611493	0.942376526945953	-16.5880713460027
Taurine and hypotaurine metabolism	0.300860617861462	0.725902353557295	109.775231620336
Tryptophan metabolism	0.99169699650245	0.99169699650245	1.20115373759537
Tyrosine metabolism	0.291061085215978	0.725902353557295	-121.614037100081
Valine, leucine and isoleucine degradation	0.166748348728422	0.725902353557295	106.59412570928
Various types of N-glycan biosynthesis	0.784766042820173	0.927240279384999	-40.573232073191
alpha-Linolenic acid metabolism	0.385242514130334	0.725902353557295	158.066234561927
beta-Alanine metabolism	0.746689132260422	0.909012856664862	-27.4526587553581
CD4NAIVE 
delta_clinical ~ delta_taxa:
	pvals	adj.pvals	coeffs
Alanine, aspartate and glutamate metabolism	0.399563386992991	0.981773139150849	-543.489703074605
Amino acid related enzymes	0.578515659631586	0.981773139150849	464.986556264299
Amino sugar and nucleotide sugar metabolism	0.617202399509457	0.981773139150849	-209.760966124147
Arginine and proline metabolism	0.934062567774381	0.982511586924045	40.0655986528603
Ascorbate and aldarate metabolism	0.569076233311743	0.981773139150849	472.763750361238
Biosynthesis of unsaturated fatty acids	0.820689494489317	0.981773139150849	202.099244100383
Butanoate metabolism	0.91164648635436	0.981773139150849	72.4532730196892
Valine, leucine and isoleucine biosynthesis	0.50730954638578	0.981773139150849	257.743598615433
Steroid biosynthesis	0.91030242097847	0.981773139150849	-71.7431347630095
Cyanoamino acid metabolism	0.092636791794305	0.981773139150849	-704.124580595492
Cysteine and methionine metabolism	0.577045717469987	0.981773139150849	519.782449675018
D-Alanine metabolism	0.655517617842956	0.981773139150849	793.594457694268
D-Arginine and D-ornithine metabolism	0.990865874936453	0.996234946747247	-11.188055174242
D-Glutamine and D-glutamate metabolism	0.660318619801388	0.981773139150849	583.152098227283
Ether lipid metabolism	0.880098480845575	0.981773139150849	234.69386065796
Fatty acid biosynthesis	0.996234946747247	0.996234946747247	4.06118828049129
Fatty acid metabolism	0.576963402400171	0.981773139150849	565.89478364474
Fructose and mannose metabolism	0.255931184310456	0.981773139150849	720.820531007857
Galactose metabolism	0.557727809938201	0.981773139150849	-216.514888191633
Glycosyltransferases	0.851304104660444	0.981773139150849	-75.0495222173306
Glycerolipid metabolism	0.624486814414748	0.981773139150849	218.764992988884
Glycerophospholipid metabolism	0.435205331996619	0.981773139150849	-544.046337097461
Glycine, serine and threonine metabolism	0.892680887858889	0.981773139150849	-116.971879499269
Glycolysis / Gluconeogenesis	0.437278729977688	0.981773139150849	643.432753563281
Glycosphingolipid biosynthesis - lacto and neolacto series	0.257570924122718	0.981773139150849	-1557.22480905849
Glyoxylate and dicarboxylate metabolism	0.909649487179608	0.981773139150849	-89.885894387556
Histidine metabolism	0.80927469087043	0.981773139150849	-136.38280313083
Inositol phosphate metabolism	0.886017677956166	0.981773139150849	-122.41787740729
Lipid biosynthesis proteins	0.179208539253298	0.981773139150849	-1409.67995797407
Lipopolysaccharide biosynthesis proteins	0.686995278177169	0.981773139150849	-61.2155479768206
Lysine biosynthesis	0.394455264121972	0.981773139150849	565.843976519759
Lysine degradation	0.865008788755976	0.981773139150849	-188.771773844591
N-Glycan biosynthesis	0.476221082225336	0.981773139150849	476.819154468152
Other glycan degradation	0.159375861474918	0.981773139150849	-259.04471101536
Pentose and glucuronate interconversions	0.808688933061114	0.981773139150849	-73.575660613047
Pentose phosphate pathway	0.947421887391043	0.982511586924045	41.6193112210913
Peptidoglycan biosynthesis	0.494136442780953	0.981773139150849	370.479709823469
Phenylalanine metabolism	0.720784469678066	0.981773139150849	-347.08660458111
Phenylalanine, tyrosine and tryptophan biosynthesis	0.713678391648517	0.981773139150849	272.250734319042
Phosphonate and phosphinate metabolism	0.587545320709866	0.981773139150849	304.320597020262
Primary bile acid biosynthesis	0.465509416937641	0.981773139150849	-492.128484744654
Propanoate metabolism	0.344698141479393	0.981773139150849	776.233420230935
Purine metabolism	0.387310881431835	0.981773139150849	360.840828346141
Pyrimidine metabolism	0.654099136636118	0.981773139150849	201.13739573863
Pyruvate metabolism	0.739525260338468	0.981773139150849	179.304497116818
Selenocompound metabolism	0.596512835772684	0.981773139150849	-538.140145050194
Starch and sucrose metabolism	0.333671485502547	0.981773139150849	-382.850685151057
Steroid hormone biosynthesis	0.178364949573641	0.981773139150849	-536.667802443694
Synthesis and degradation of ketone bodies	0.605278641281783	0.981773139150849	-428.292511965906
Taurine and hypotaurine metabolism	0.250025049945441	0.981773139150849	-1064.22604453608
Tryptophan metabolism	0.668922101040966	0.981773139150849	427.394929445817
Tyrosine metabolism	0.319522139925418	0.981773139150849	995.557917358467
Valine, leucine and isoleucine degradation	0.696094568520149	0.981773139150849	-260.505937543358
Various types of N-glycan biosynthesis	0.0660443258336696	0.981773139150849	2340.93993395087
alpha-Linolenic acid metabolism	0.8057402147151	0.981773139150849	-386.223709015944
beta-Alanine metabolism	0.436415826158936	0.981773139150849	-594.773045517204
STOOLWT 
delta_clinical ~ delta_taxa:
	pvals	adj.pvals	coeffs
Alanine, aspartate and glutamate metabolism	0.0462123786243676	0.489032383049349	-16898.3251709549
Amino acid related enzymes	0.893542846588879	0.96043526694709	1496.06908436391
Amino sugar and nucleotide sugar metabolism	0.147985301227649	0.516327773349855	-7983.60984005818
Arginine and proline metabolism	0.931520351992305	0.96043526694709	-553.970920148217
Ascorbate and aldarate metabolism	0.44171483658569	0.789557755654549	-8612.5859408443
Biosynthesis of unsaturated fatty acids	0.221352967257088	0.591115479933459	14634.06085525
Butanoate metabolism	0.878103899037252	0.96043526694709	-1309.46992923474
Valine, leucine and isoleucine biosynthesis	0.330381103036054	0.695565185791508	4991.83982837728
Steroid biosynthesis	0.29794732717237	0.695210430068864	8912.6147267776
Cyanoamino acid metabolism	0.153784919251094	0.516327773349855	-8029.04971500469
Cysteine and methionine metabolism	0.591069657390814	0.874427460263293	-6751.02390593341
D-Alanine metabolism	0.942419115977309	0.96043526694709	-1731.7649937018
D-Arginine and D-ornithine metabolism	0.311961340824845	0.695565185791508	13167.0493327789
D-Glutamine and D-glutamate metabolism	0.118050289086575	0.516327773349855	-27539.3851799795
Ether lipid metabolism	0.0578906520931708	0.489032383049349	39317.8215774162
Fatty acid biosynthesis	0.656851724268123	0.89716333070768	-5084.5522887223
Fatty acid metabolism	0.460533308162256	0.789557755654549	9789.42581503767
Fructose and mannose metabolism	0.869467981750241	0.96043526694709	-1413.47999977702
Galactose metabolism	0.15674235976692	0.516327773349855	-7008.87015365073
Glycosyltransferases	0.33536178600662	0.695565185791508	-5044.84246366497
Glycerolipid metabolism	0.502654565094562	0.789557755654549	3930.02966779017
Glycerophospholipid metabolism	0.0815750930912092	0.489032383049349	16174.91363817
Glycine, serine and threonine metabolism	0.77236013404544	0.96043526694709	-3361.84673727294
Glycolysis / Gluconeogenesis	0.651792105100564	0.89716333070768	-4992.91548847682
Glycosphingolipid biosynthesis - lacto and neolacto series	0.795002346132292	0.96043526694709	-4843.18696902213
Glyoxylate and dicarboxylate metabolism	0.823818937744996	0.96043526694709	-2363.72393252225
Histidine metabolism	0.0490026119804392	0.489032383049349	-14786.7768729442
Inositol phosphate metabolism	0.456119615999816	0.789557755654549	-8552.08073881148
Lipid biosynthesis proteins	0.0669472259345423	0.489032383049349	-25796.0248279734
Lipopolysaccharide biosynthesis proteins	0.170453856270714	0.530300886175556	-2725.84904954478
Lysine biosynthesis	0.278574503357395	0.678268356000614	9567.01334032151
Lysine degradation	0.232223938545288	0.591115479933459	17622.4725786068
N-Glycan biosynthesis	0.943284637180178	0.96043526694709	-626.259546919312
Other glycan degradation	0.138668994864951	0.516327773349855	-3600.36449871075
Pentose and glucuronate interconversions	0.201475871596807	0.591115479933459	-5196.5542941603
Pentose phosphate pathway	0.654506768877217	0.89716333070768	3716.22711760572
Peptidoglycan biosynthesis	0.874479868823516	0.96043526694709	1153.60219505164
Phenylalanine metabolism	0.0172248976284286	0.489032383049349	-30618.5174044059
Phenylalanine, tyrosine and tryptophan biosynthesis	0.507424383763769	0.789557755654549	6619.74610527088
Phosphonate and phosphinate metabolism	0.0678220423247959	0.489032383049349	-13601.9608616197
Primary bile acid biosynthesis	0.507572842920781	0.789557755654549	-6028.35402194537
Propanoate metabolism	0.503842376162517	0.789557755654549	7216.14241011462
Purine metabolism	0.878728321995062	0.96043526694709	-849.437094753706
Pyrimidine metabolism	0.847837144313436	0.96043526694709	-1146.75397271483
Pyruvate metabolism	0.990851846036401	0.990851846036401	-81.8141753358008
Selenocompound metabolism	0.498476071898948	0.789557755654549	9222.52461285108
Starch and sucrose metabolism	0.0960599323846936	0.489032383049349	-8839.8260376928
Steroid hormone biosynthesis	0.150079639668893	0.516327773349855	-7555.82806791321
Synthesis and degradation of ketone bodies	0.0199882822472311	0.489032383049349	24599.3134203448
Taurine and hypotaurine metabolism	0.223471447945107	0.591115479933459	-14962.297544269
Tryptophan metabolism	0.0768489913640958	0.489032383049349	23432.5189506744
Tyrosine metabolism	0.0903017181798556	0.489032383049349	-22494.8903407579
Valine, leucine and isoleucine degradation	0.77838584771655	0.96043526694709	-2532.83477623033
Various types of N-glycan biosynthesis	0.715246585858452	0.953662114477936	-6285.73024228796
alpha-Linolenic acid metabolism	0.593361490892949	0.874427460263293	-11294.8623319667
beta-Alanine metabolism	0.495369558346068	0.789557755654549	6713.46764923772
DAILYSTOOLEN 
delta_clinical ~ delta_taxa:
	pvals	adj.pvals	coeffs
Alanine, aspartate and glutamate metabolism	0.224179741370451	0.808308447349589	-5217.3326583736
Amino acid related enzymes	0.530998273856521	0.831441733441909	-3530.14646042875
Amino sugar and nucleotide sugar metabolism	0.445544370104309	0.808308447349589	-2128.51455299676
Arginine and proline metabolism	0.547278512767988	0.831441733441909	1945.25197260234
Ascorbate and aldarate metabolism	0.322103787887632	0.808308447349589	-5556.95516683871
Biosynthesis of unsaturated fatty acids	0.72751151676167	0.831441733441909	2103.06556591697
Butanoate metabolism	0.874160107619146	0.923640868427777	682.712602458866
Valine, leucine and isoleucine biosynthesis	0.226712598074571	0.808308447349589	3106.27368230803
Steroid biosynthesis	0.667579788478935	0.831441733441909	1853.53935091207
Cyanoamino acid metabolism	0.378240428098662	0.808308447349589	-2502.53197589777
Cysteine and methionine metabolism	0.689687525691077	0.831441733441909	-2587.73569494903
D-Alanine metabolism	0.649217222881652	0.831441733441909	-5474.20924030098
D-Arginine and D-ornithine metabolism	0.379850607985555	0.808308447349589	5751.41113569537
D-Glutamine and D-glutamate metabolism	0.214298382631164	0.808308447349589	-11031.7925333107
Ether lipid metabolism	0.236248797573962	0.808308447349589	12511.7617638274
Fatty acid biosynthesis	0.937934482988648	0.969072203474295	-447.720841429612
Fatty acid metabolism	0.715674399792876	0.831441733441909	2436.01188010047
Fructose and mannose metabolism	0.814524676308879	0.907222446814545	1041.85993345567
Galactose metabolism	0.475759078430005	0.808308447349589	-1791.07558551847
Glycosyltransferases	0.316154552594417	0.808308447349589	-2634.91791518647
Glycerolipid metabolism	0.436674419894806	0.808308447349589	2288.06578809919
Glycerophospholipid metabolism	0.135265818383048	0.808308447349589	6983.01832503621
Glycine, serine and threonine metabolism	0.685465510631903	0.831441733441909	-2362.29729608548
Glycolysis / Gluconeogenesis	0.969072203474295	0.969072203474295	216.538021861399
Glycosphingolipid biosynthesis - lacto and neolacto series	0.86901617337471	0.923640868427777	-1546.86719271588
Glyoxylate and dicarboxylate metabolism	0.41348211318467	0.808308447349589	4349.57961311663
Histidine metabolism	0.476324620759579	0.808308447349589	-2725.6298254115
Inositol phosphate metabolism	0.561801481676413	0.831441733441909	-3346.43477543928
Lipid biosynthesis proteins	0.138056911993659	0.808308447349589	-10556.2347907659
Lipopolysaccharide biosynthesis proteins	0.195638338558391	0.808308447349589	-1293.65470302407
Lysine biosynthesis	0.330151267538448	0.808308447349589	4319.66504813498
Lysine degradation	0.407945175980408	0.808308447349589	6143.45334116623
N-Glycan biosynthesis	0.705890410121055	0.831441733441909	-1667.03314155044
Other glycan degradation	0.3538549878976	0.808308447349589	-1137.2171085799
Pentose and glucuronate interconversions	0.635235995531005	0.831441733441909	-976.758313976158
Pentose phosphate pathway	0.558505211089231	0.831441733441909	2441.12519364388
Peptidoglycan biosynthesis	0.668379960948512	0.831441733441909	-1569.68174711296
Phenylalanine metabolism	0.110236297100873	0.808308447349589	-10423.5603621126
Phenylalanine, tyrosine and tryptophan biosynthesis	0.34915904079551	0.808308447349589	4705.49455643934
Phosphonate and phosphinate metabolism	0.377956597093718	0.808308447349589	-3325.71596466407
Primary bile acid biosynthesis	0.964922316416222	0.969072203474295	202.78469705733
Propanoate metabolism	0.355140001037316	0.808308447349589	5003.13164269117
Purine metabolism	0.454096344471531	0.808308447349589	-2088.90106096195
Pyrimidine metabolism	0.450652995981838	0.808308447349589	-2260.05746298093
Pyruvate metabolism	0.458355772867147	0.808308447349589	2658.31262052859
Selenocompound metabolism	0.411371461475403	0.808308447349589	5613.87106274753
Starch and sucrose metabolism	0.327657229333045	0.808308447349589	-2641.03060992241
Steroid hormone biosynthesis	0.200635673756404	0.808308447349589	-3377.39586341479
Synthesis and degradation of ketone bodies	0.0463331758404843	0.808308447349589	10666.6372210485
Taurine and hypotaurine metabolism	0.455481118876554	0.808308447349589	-4620.11748830563
Tryptophan metabolism	0.340863247527224	0.808308447349589	6388.1313281065
Tyrosine metabolism	0.0989846355360354	0.808308447349589	-11003.6880103219
Valine, leucine and isoleucine degradation	0.681531672999346	0.831441733441909	-1864.21780530526
Various types of N-glycan biosynthesis	0.826220442634675	0.907222446814545	1900.79077037389
alpha-Linolenic acid metabolism	0.683734496247658	0.831441733441909	-4340.73601550397
beta-Alanine metabolism	0.646079339032706	0.831441733441909	2272.35584783926
ARB 
delta_clinical ~ delta_taxa:
	pvals	adj.pvals	coeffs
Alanine, aspartate and glutamate metabolism	0.899252894466704	0.980518930787064	179.350916565525
Amino acid related enzymes	0.676980179216434	0.980518930787064	-767.214016313091
Amino sugar and nucleotide sugar metabolism	0.9736341822727	0.980518930787064	-30.2832649946793
Arginine and proline metabolism	0.625528795297423	0.980518930787064	518.145250325836
Ascorbate and aldarate metabolism	0.291166336275302	0.980518930787064	-1944.26377513586
Biosynthesis of unsaturated fatty acids	0.322799977305024	0.980518930787064	-1953.63627707509
Butanoate metabolism	0.84449491320296	0.980518930787064	276.013295309404
Valine, leucine and isoleucine biosynthesis	0.980518930787064	0.980518930787064	20.7095925439913
Steroid biosynthesis	0.65240266534437	0.980518930787064	-637.682473600201
Cyanoamino acid metabolism	0.452373060510804	0.980518930787064	700.837348850841
Cysteine and methionine metabolism	0.530104533286019	0.980518930787064	-1299.81496517219
D-Alanine metabolism	0.94088271314836	0.980518930787064	293.068992682041
D-Arginine and D-ornithine metabolism	0.108115579744734	0.980518930787064	3429.9889833782
D-Glutamine and D-glutamate metabolism	0.910715342072896	0.980518930787064	-328.433667239142
Ether lipid metabolism	0.958775279768714	0.980518930787064	178.857655095197
Fatty acid biosynthesis	0.703279777533248	0.980518930787064	-718.659527294862
Fatty acid metabolism	0.439736637095761	0.980518930787064	-1689.04188881512
Fructose and mannose metabolism	0.201135162504431	0.980518930787064	-1802.1408644915
Galactose metabolism	0.891498925085806	0.980518930787064	112.053936627709
Glycosyltransferases	0.814860589519915	0.980518930787064	-202.730132701913
Glycerolipid metabolism	0.904605950476693	0.980518930787064	-115.989821689407
Glycerophospholipid metabolism	0.523405670279718	0.980518930787064	985.783262917443
Glycine, serine and threonine metabolism	0.909834789311786	0.980518930787064	-216.972502249107
Glycolysis / Gluconeogenesis	0.203263618576113	0.980518930787064	-2308.78918613109
Glycosphingolipid biosynthesis - lacto and neolacto series	0.524317398661773	0.980518930787064	1953.92220048565
Glyoxylate and dicarboxylate metabolism	0.444602829714426	0.980518930787064	1335.24056520109
Histidine metabolism	0.919694249440141	0.980518930787064	-126.513995909603
Inositol phosphate metabolism	0.961793352324166	0.980518930787064	-90.7818109859516
Lipid biosynthesis proteins	0.741275344984146	0.980518930787064	-774.984437675127
Lipopolysaccharide biosynthesis proteins	0.967977778538144	0.980518930787064	-13.2447877572302
Lysine biosynthesis	0.977219870649549	0.980518930787064	-41.7270393183083
Lysine degradation	0.632754138647041	0.980518930787064	1166.71617745636
N-Glycan biosynthesis	0.868959512711012	0.980518930787064	-239.359431924309
Other glycan degradation	0.615889669801171	0.980518930787064	202.421938178556
Pentose and glucuronate interconversions	0.770325010304264	0.980518930787064	196.825752795575
Pentose phosphate pathway	0.765342290665682	0.980518930787064	-408.693665539178
Peptidoglycan biosynthesis	0.341986173408203	0.980518930787064	-1140.2705080212
Phenylalanine metabolism	0.82892128602571	0.980518930787064	-466.887416196027
Phenylalanine, tyrosine and tryptophan biosynthesis	0.701037504454893	0.980518930787064	-632.605827031592
Phosphonate and phosphinate metabolism	0.873082878061254	0.980518930787064	-198.388428752408
Primary bile acid biosynthesis	0.483690571453986	0.980518930787064	1050.05692312447
Propanoate metabolism	0.94968226187649	0.980518930787064	112.460219996161
Purine metabolism	0.413419525701123	0.980518930787064	-748.804889704816
Pyrimidine metabolism	0.565374403019153	0.980518930787064	-565.71379518225
Pyruvate metabolism	0.980258927951067	0.980518930787064	-29.1021202207769
Selenocompound metabolism	0.951697613939091	0.980518930787064	136.251543991072
Starch and sucrose metabolism	0.806834591273611	0.980518930787064	-216.098755453048
Steroid hormone biosynthesis	0.880400414073549	0.980518930787064	-131.13037955468
Synthesis and degradation of ketone bodies	0.230690226203958	0.980518930787064	2117.85627298596
Taurine and hypotaurine metabolism	0.968722868504699	0.980518930787064	-79.8459133739445
Tryptophan metabolism	0.671803859889861	0.980518930787064	934.436539011594
Tyrosine metabolism	0.0227620237061866	0.980518930787064	-4945.323258701
Valine, leucine and isoleucine degradation	0.554859565397046	0.980518930787064	875.140316109252
Various types of N-glycan biosynthesis	0.840628841894009	0.980518930787064	-571.258484966901
alpha-Linolenic acid metabolism	0.560003736605051	0.980518930787064	2031.66132657608
beta-Alanine metabolism	0.750127172226033	0.980518930787064	517.537401603284
CONA_5UG_PER_ML 
delta_clinical ~ delta_taxa:
	pvals	adj.pvals	coeffs
Alanine, aspartate and glutamate metabolism	0.263437085379126	0.546388028934484	438744.962837106
Amino acid related enzymes	0.0289347389602617	0.221902725057593	-1101189.54435931
Amino sugar and nucleotide sugar metabolism	0.296694248224008	0.572926824156706	264946.10305736
Arginine and proline metabolism	0.0255739249600642	0.221902725057593	648519.310612334
Ascorbate and aldarate metabolism	0.469595649878476	0.755914749383716	371245.825032421
Biosynthesis of unsaturated fatty acids	0.249014380304982	0.546388028934484	-632769.722512189
Butanoate metabolism	0.603657698729569	0.812158596818085	203030.736847479
Valine, leucine and isoleucine biosynthesis	0.724502648588098	0.882003224368119	83106.7670943923
Steroid biosynthesis	0.577984173768827	0.812158596818085	-218990.899783271
Cyanoamino acid metabolism	0.423735810709662	0.719203434856544	207460.371428899
Cysteine and methionine metabolism	0.00709547212472241	0.221902725057593	-1513921.66015894
D-Alanine metabolism	0.243247934397112	0.546388028934484	-1276584.19575034
D-Arginine and D-ornithine metabolism	0.151637125155092	0.453297897581633	852907.192122142
D-Glutamine and D-glutamate metabolism	0.687557106118589	0.859939147917752	327462.233156415
Ether lipid metabolism	0.850632297347477	0.934027620616838	-181216.673830419
Fatty acid biosynthesis	0.293364641786355	0.572926824156706	549593.253528477
Fatty acid metabolism	0.423816309826178	0.719203434856544	486255.717091527
Fructose and mannose metabolism	0.201969432531111	0.538585153416297	500343.546989866
Galactose metabolism	0.0159287592877356	0.221902725057593	539798.752391907
Glycosyltransferases	0.796589795973571	0.91038833825551	-62070.0778736903
Glycerolipid metabolism	0.623621779699601	0.812158596818085	131997.948098757
Glycerophospholipid metabolism	0.617571589456842	0.812158596818085	-214664.790583075
Glycine, serine and threonine metabolism	0.889878385740779	0.939515277789831	-73783.8132560304
Glycolysis / Gluconeogenesis	0.999743172490182	0.999743172490182	163.389375175826
Glycosphingolipid biosynthesis - lacto and neolacto series	0.0317003892939419	0.221902725057593	1806967.86980181
Glyoxylate and dicarboxylate metabolism	0.0994097670472601	0.372967090831902	794594.349657575
Histidine metabolism	0.0411093014130709	0.255791208792441	702622.354147838
Inositol phosphate metabolism	0.0847608047648564	0.365123466679382	899236.083846277
Lipid biosynthesis proteins	0.533690211543502	0.786490838064108	405948.384726283
Lipopolysaccharide biosynthesis proteins	0.753296053296197	0.897544233714618	28832.5188636473
Lysine biosynthesis	0.823526119082249	0.922349253372119	90629.7026335122
Lysine degradation	0.153797500965197	0.453297897581633	962499.248026574
N-Glycan biosynthesis	0.905961160725908	0.939515277789831	47674.8400959179
Other glycan degradation	0.0480923329952766	0.269317064773549	219018.060434589
Pentose and glucuronate interconversions	0.0108457969610521	0.221902725057593	467220.143235641
Pentose phosphate pathway	0.485945196032389	0.755914749383716	265006.152824468
Peptidoglycan biosynthesis	0.0649147507914053	0.330475094938063	-610734.482786142
Phenylalanine metabolism	0.0813497132315007	0.365123466679382	1036584.98402782
Phenylalanine, tyrosine and tryptophan biosynthesis	0.229245653517392	0.546388028934484	-548543.173623847
Phosphonate and phosphinate metabolism	0.0185484998029962	0.221902725057593	797862.162450155
Primary bile acid biosynthesis	0.0200384272530528	0.221902725057593	953386.655157533
Propanoate metabolism	0.512425929416334	0.775563568846344	324221.820842468
Purine metabolism	0.218685181154389	0.546388028934484	-312308.616220051
Pyrimidine metabolism	0.114195870853614	0.376174633400142	-429107.594141953
Pyruvate metabolism	0.113154848047622	0.376174633400142	513715.587142491
Selenocompound metabolism	0.0999018993299737	0.372967090831902	-1019712.02901736
Starch and sucrose metabolism	0.259538337263652	0.546388028934484	275992.995621119
Steroid hormone biosynthesis	0.189732971155921	0.531252319236578	316010.903786939
Synthesis and degradation of ketone bodies	0.481866391150961	0.755914749383716	-346796.241844825
Taurine and hypotaurine metabolism	0.793943216759057	0.91038833825551	-147907.384387625
