Significant Taxon ~ Clinical at Timepoint
MK4 
pvals	adj.pvals	coeffs
Alanine, aspartate and glutamate metabolism	0.0607527453348298	0.200126690514734	-0.00039988120650523
Amino sugar and nucleotide sugar metabolism	0.00787842920958542	0.181057686964208	-0.000885362189645519
Valine, leucine and isoleucine biosynthesis	0.0533044566680584	0.199585468566945	0.000867976822159583
Cyanoamino acid metabolism	0.0554347520223638	0.199585468566945	-0.000677875791522999
Glycosyltransferases	0.0374180952610092	0.190492121328774	-0.000757672842318922
Glycerolipid metabolism	0.0323317298150371	0.181057686964208	0.000734966000107592
Glycine, serine and threonine metabolism	0.0158654431060443	0.181057686964208	-0.000344586046404819
Glycolysis / Gluconeogenesis	0.06433018672805	0.200138358709489	0.000395381883579328
Inositol phosphate metabolism	0.074064762924962	0.218296143357783	-0.000313421464323505
Lipopolysaccharide biosynthesis proteins	0.0265477012052679	0.181057686964208	-0.00213788828512066
Lysine biosynthesis	0.0162327828821572	0.181057686964208	0.000499266997915832
N-Glycan biosynthesis	0.0477252603973844	0.199585468566945	-0.000414808346481114
Other glycan degradation	0.019276781861347	0.181057686964208	-0.0019645982701311
Phenylalanine, tyrosine and tryptophan biosynthesis	0.0304894012923112	0.181057686964208	0.000418672428680099
Steroid hormone biosynthesis	0.0268641301998753	0.181057686964208	-0.000869480819057857
Taurine and hypotaurine metabolism	0.0284206274236254	0.181057686964208	-0.000265497031270454
Tyrosine metabolism	0.0507129420819689	0.199585468566945	0.000246024676535751
Valine, leucine and isoleucine degradation	0.00514392821048061	0.181057686964208	-0.000523893521512308
PK 
pvals	adj.pvals	coeffs
Alanine, aspartate and glutamate metabolism	0.00334574099381601	0.0936807478268482	-0.000406621226622788
Amino sugar and nucleotide sugar metabolism	0.0430997695854996	0.192941110612359	-0.000450379036269081
Cyanoamino acid metabolism	0.0447899006778691	0.192941110612359	-0.000469134263475808
Glycosyltransferases	0.022485961921796	0.123060649161719	-0.000547865714400217
Glycine, serine and threonine metabolism	0.0199001119239607	0.123060649161719	-0.000220309639758332
Lipopolysaccharide biosynthesis proteins	0.0181281977401409	0.123060649161719	-0.00150300256635912
Other glycan degradation	0.0101574997469393	0.115895524472348	-0.00142178508906811
Propanoate metabolism	0.0241726275139092	0.123060649161719	0.000265572674901748
Steroid hormone biosynthesis	0.011690495060251	0.115895524472348	-0.000651810527964331
Synthesis and degradation of ketone bodies	0.0123719244560471	0.115895524472348	0.000263072187669431
Taurine and hypotaurine metabolism	0.0124173776220373	0.115895524472348	-0.000199342788584914
Tyrosine metabolism	0.0688934357692998	0.241127025192549	0.000151773259011639
Various types of N-glycan biosynthesis	1.06020080548855e-05	0.000593712451073586	0.000277864255276883
beta-Alanine metabolism	0.0194978606045663	0.123060649161719	-0.000272066533472195
MK5 
pvals	adj.pvals	coeffs
Alanine, aspartate and glutamate metabolism	1.25877594406825e-06	3.50443336584028e-05	-0.00477598981902359
Amino acid related enzymes	0.00054344843963483	0.00179018309526767	0.00403674593658217
Amino sugar and nucleotide sugar metabolism	0.00333723104319201	0.00849476992812512	-0.00481015697310905
Arginine and proline metabolism	0.000915379525713143	0.00269796070736505	-0.00583835401315802
Ascorbate and aldarate metabolism	0.0167880157397158	0.0344323515814093	-0.0021440938926189
