PH 
taxa ~ clinical_var
	pvals	adj.pvals	coeffs
Alanine, aspartate and glutamate metabolism	0.767830182894144	0.914861494512171	0.000350556749956962
Amino acid related enzymes	0.501301847130465	0.825673630567825	0.000908985022276111
Amino sugar and nucleotide sugar metabolism	0.298444426016723	0.76737660664719	0.00199705416124064
Arginine and proline metabolism	0.317785859995184	0.76737660664719	-0.00193844807174055
Ascorbate and aldarate metabolism	0.990033144854109	0.990033144854109	-1.1709231254494e-05
Biosynthesis of unsaturated fatty acids	0.547580653381216	0.838079937571397	0.000351238174453862
Butanoate metabolism	0.895479313329777	0.960108362133845	0.000141205578170571
Valine, leucine and isoleucine biosynthesis	0.279306110138943	0.76737660664719	-0.00256482923481014
Steroid biosynthesis	0.22084192514422	0.76737660664719	0.000904651604257978
Cyanoamino acid metabolism	0.664388705971114	0.872809861159631	-0.000947833722738584
Cysteine and methionine metabolism	0.25904240259545	0.76737660664719	0.000959598189987156
D-Alanine metabolism	0.701365067003275	0.872809861159631	0.000264621688709606
D-Arginine and D-ornithine metabolism	0.732061909645545	0.891205803046751	-0.000299383181239966
D-Glutamine and D-glutamate metabolism	0.275420349735397	0.76737660664719	0.000661437142862774
Ether lipid metabolism	0.326570347667645	0.76737660664719	-0.00046883691322264
Fatty acid biosynthesis	0.236455274251661	0.76737660664719	-0.00109655645098864
Fatty acid metabolism	0.969498597223185	0.987125844445425	-2.56754337685967e-05
Fructose and mannose metabolism	0.412660153123576	0.825320306247152	-0.00134156767552543
Galactose metabolism	0.465783185755843	0.825673630567825	-0.00209241805757121
Glycosyltransferases	0.539899236230576	0.838079937571397	0.00129691576946588
Glycerolipid metabolism	0.157893338711293	0.76737660664719	-0.002554999739718
Glycerophospholipid metabolism	0.139638573417942	0.76737660664719	-0.00161121365074942
Glycine, serine and threonine metabolism	0.685166337614683	0.872809861159631	0.000354981944536479
Glycolysis / Gluconeogenesis	0.49680300127168	0.825673630567825	-0.000754592249606721
Glycosphingolipid biosynthesis - lacto and neolacto series	0.652118337590738	0.872809861159631	0.000255133754266287
Glyoxylate and dicarboxylate metabolism	0.328875688563081	0.76737660664719	-0.00138293950559634
Histidine metabolism	0.908673985590961	0.960108362133845	-0.000214267675846057
Inositol phosphate metabolism	0.432012042221971	0.825673630567825	0.000736536057748778
Lipid biosynthesis proteins	0.83922001376919	0.959108587164788	0.000157787670461536
Lipopolysaccharide biosynthesis proteins	0.292007137032556	0.76737660664719	0.0058442675311381
Lysine biosynthesis	0.0621045656045645	0.76737660664719	-0.00223571555166842
Lysine degradation	0.194293525935262	0.76737660664719	0.000753039616723365
N-Glycan biosynthesis	0.17773599523201	0.76737660664719	0.00159947720382933
Other glycan degradation	0.663555808322597	0.872809861159631	0.00205085354493192
Pentose and glucuronate interconversions	0.553731387323958	0.838079937571397	-0.00201431388832763
Pentose phosphate pathway	0.161723271992843	0.76737660664719	-0.00218770341282083
Peptidoglycan biosynthesis	0.80407333570245	0.938085558319525	0.000447482831445467
Phenylalanine metabolism	0.697864918043509	0.872809861159631	0.000316655724021859
Phenylalanine, tyrosine and tryptophan biosynthesis	0.0531520046848125	0.76737660664719	-0.00206074558355343
Phosphonate and phosphinate metabolism	0.587653838802392	0.863679020774789	-0.000765836852298449
Primary bile acid biosynthesis	0.353872355307442	0.771453273902136	-0.00135845589746154
Propanoate metabolism	0.885316608140034	0.960108362133845	-0.00013376670748408
Purine metabolism	0.371950685631387	0.771453273902136	0.00207380087823577
Pyrimidine metabolism	0.193074550711818	0.76737660664719	0.00304019803995904
Pyruvate metabolism	0.482546750353766	0.825673630567825	-0.00139360750743051
Selenocompound metabolism	0.474561131671363	0.825673630567825	0.000434225112690042
Starch and sucrose metabolism	0.24999048058403	0.76737660664719	-0.00298838900640101
Steroid hormone biosynthesis	0.158822521463616	0.76737660664719	0.00308806928688138
Synthesis and degradation of ketone bodies	0.877910997711304	0.960108362133845	0.000125201556242596
Taurine and hypotaurine metabolism	0.0597355226918174	0.76737660664719	0.00146515175981469
Tryptophan metabolism	0.0745811473410282	0.76737660664719	0.00105941187617004
Tyrosine metabolism	0.95599498998803	0.987125844445425	3.63684917193928e-05
Valine, leucine and isoleucine degradation	0.106393459113863	0.76737660664719	0.00186398143637193
Various types of N-glycan biosynthesis	0.362613539119409	0.771453273902136	0.000526727004887835
alpha-Linolenic acid metabolism	0.277518798827152	0.76737660664719	0.000691317904999573
beta-Alanine metabolism	0.601490746611014	0.863679020774789	0.000521175481277943
WATER 
taxa ~ clinical_var
	pvals	adj.pvals	coeffs
Alanine, aspartate and glutamate metabolism	0.227799822052923	0.619832549292749	-5.00219520062731e-05
Amino acid related enzymes	0.1149692608296	0.514920881809019	7.42500999917294e-05
Amino sugar and nucleotide sugar metabolism	0.059479186642478	0.460532370627771	-0.000125948446332759
Arginine and proline metabolism	0.182026625950175	0.581076399363637	-9.06310785436635e-05
Ascorbate and aldarate metabolism	0.347761246610117	0.649154327005553	-3.07928134706579e-05
Biosynthesis of unsaturated fatty acids	0.293556179807223	0.632274848815557	2.1473675103499e-05
Butanoate metabolism	0.120895918425481	0.514920881809019	-5.80217200436488e-05
Valine, leucine and isoleucine biosynthesis	0.942599747526626	0.975359839873156	-6.0151771979003e-06
Steroid biosynthesis	0.452073231515754	0.700531757444237	-1.9564072140631e-05
Cyanoamino acid metabolism	0.0408717272676609	0.460532370627771	-0.000154614102457893
Cysteine and methionine metabolism	0.975533660855564	0.975533660855564	-9.19194610703786e-07
D-Alanine metabolism	0.251691740896774	0.619832549292749	2.76467381008566e-05
D-Arginine and D-ornithine metabolism	0.692325146043955	0.84283061257525	-1.21415139171381e-05
D-Glutamine and D-glutamate metabolism	0.254574082745236	0.619832549292749	-2.42395983044545e-05
Ether lipid metabolism	0.666286067532334	0.829155995151349	7.25257564343532e-06
Fatty acid biosynthesis	0.601495711270416	0.794799989480564	1.70435945304572e-05
Fatty acid metabolism	0.314775024252256	0.642458305714986	-2.36062111982865e-05
Fructose and mannose metabolism	0.845611189009685	0.947084531690848	-1.12159837525473e-05
Galactose metabolism	0.166326173797115	0.581076399363637	-0.00013868535043349
Glycosyltransferases	0.884658816025088	0.952709494180864	-1.07852721524203e-05
Glycerolipid metabolism	0.748600991211949	0.873367823080607	2.04844204630607e-05
Glycerophospholipid metabolism	0.28809246686364	0.632274848815557	4.08161134249979e-05
Glycine, serine and threonine metabolism	0.386188590248561	0.666836082454716	-2.6573655766575e-05
Glycolysis / Gluconeogenesis	0.906448840676245	0.957757265620183	-4.58716072703431e-06
Glycosphingolipid biosynthesis - lacto and neolacto series	0.806390455453039	0.92158909194633	-4.87022542409799e-06
Glyoxylate and dicarboxylate metabolism	0.251716711101126	0.619832549292749	-5.69042531505267e-05
Histidine metabolism	0.128730220452255	0.514920881809019	-9.8790929707034e-05
Inositol phosphate metabolism	0.0529107866601881	0.460532370627771	-6.2987178643694e-05
Lipid biosynthesis proteins	0.87616539082545	0.952709494180864	-4.25346719705212e-06
Lipopolysaccharide biosynthesis proteins	0.534516485760944	0.767510851349048	-0.00012120811077462
Lysine biosynthesis	0.321229152857493	0.642458305714986	4.20842288822288e-05
Lysine degradation	0.00560048259966745	0.313627025581377	-5.52485201099776e-05
N-Glycan biosynthesis	0.486050015207916	0.716284232937982	-2.91488666343007e-05
Other glycan degradation	0.0952829760965908	0.485076969219008	-0.000273525048470819
Pentose and glucuronate interconversions	0.227816780886118	0.619832549292749	-0.000143416554552678
Pentose phosphate pathway	0.957942699875421	0.975359839873156	2.91337888812471e-06
Peptidoglycan biosynthesis	0.0716653981715177	0.460532370627771	0.000112768653391192
Phenylalanine metabolism	0.178137562243059	0.581076399363637	-3.83236345786843e-05
Phenylalanine, tyrosine and tryptophan biosynthesis	0.581932869957794	0.794799989480564	2.08399230502115e-05
Phosphonate and phosphinate metabolism	0.0740141309937489	0.460532370627771	-8.76634514640144e-05
Primary bile acid biosynthesis	0.270319883198715	0.630746394130334	-5.66159318281431e-05
Propanoate metabolism	0.378365211905907	0.666836082454716	-2.85970011574853e-05
Purine metabolism	0.462851339739942	0.700531757444237	5.99009700606157e-05
Pyrimidine metabolism	0.335316085580804	0.647506923880174	7.91937482012244e-05
Pyruvate metabolism	0.392956977160815	0.666836082454716	-5.945075086524e-05
Selenocompound metabolism	0.610292849065433	0.794799989480564	-1.08710506076789e-05
Starch and sucrose metabolism	0.436666120663269	0.700531757444237	-7.10929836102375e-05
Steroid hormone biosynthesis	0.186774556938312	0.581076399363637	-0.000101628227423513
Synthesis and degradation of ketone bodies	0.447835845211392	0.700531757444237	-2.16689110118762e-05
Taurine and hypotaurine metabolism	0.0650355760931636	0.460532370627771	-5.04144009403521e-05
Tryptophan metabolism	0.053564478064773	0.460532370627771	-4.01759410359782e-05
Tyrosine metabolism	0.70809817811202	0.84369144626113	8.65634421469161e-06
Valine, leucine and isoleucine degradation	0.0374104586921513	0.460532370627771	-8.38200102976087e-05
Various types of N-glycan biosynthesis	0.0905639353650365	0.485076969219008	-3.41220997988265e-05
alpha-Linolenic acid metabolism	0.597019088230324	0.794799989480564	-1.18495823034909e-05
beta-Alanine metabolism	0.665975582174425	0.829155995151349	1.51231008936612e-05
