Spearman's Correlation: Delta Taxon ~ Delta Clinical
FM 
delta_clinical ~ delta_taxa:
	adj.pvals	coeffs
Alanine, aspartate and glutamate metabolism	0.959443218948727	0.0682212524317787
Amino acid related enzymes	0.959443218948727	-0.0679846469320153
Amino sugar and nucleotide sugar metabolism	0.959443218948727	0.0142751984857248
Arginine and proline metabolism	0.959443218948727	0.0863347179136653
Ascorbate and aldarate metabolism	0.959443218948727	0.0389873284610127
Biosynthesis of unsaturated fatty acids	0.959443218948727	-0.199405857300594
Butanoate metabolism	0.959443218948727	-0.0374888269625112
Valine, leucine and isoleucine biosynthesis	0.959443218948727	-0.0639623534360377
Steroid biosynthesis	0.959443218948727	0.0820469238487909
Cyanoamino acid metabolism	0.959443218948727	0.0711130974288869
Cysteine and methionine metabolism	0.959443218948727	-0.0216888374783112
D-Alanine metabolism	0.959443218948727	-0.180924338819076
D-Arginine and D-ornithine metabolism	0.959443218948727	0.217046111782954
D-Glutamine and D-glutamate metabolism	0.959443218948727	0.0383300909616699
Ether lipid metabolism	0.960003742870181	-0.0062569009937431
Fatty acid biosynthesis	0.959443218948727	-0.108076134391924
Fatty acid metabolism	0.959443218948727	-0.0303906619696093
Fructose and mannose metabolism	0.959443218948727	-0.108444187391556
Galactose metabolism	0.959443218948727	0.15381986434618
Glycosyltransferases	0.959443218948727	0.0491350754508649
Glycerolipid metabolism	0.959443218948727	0.0513696829486303
Glycerophospholipid metabolism	0.959443218948727	0.0184815184815185
Glycine, serine and threonine metabolism	0.960003742870181	-0.00583626899416373
Glycolysis / Gluconeogenesis	0.959443218948727	-0.0133813554866186
Glycosphingolipid biosynthesis - lacto and neolacto series	0.959443218948727	0.161496398338504
Glyoxylate and dicarboxylate metabolism	0.959443218948727	0.196172248803828
Histidine metabolism	0.959443218948727	0.0599137704400862
Inositol phosphate metabolism	0.959443218948727	0.157184920342815
Lipid biosynthesis proteins	0.959443218948727	0.0585204269414796
Lipopolysaccharide biosynthesis proteins	0.959443218948727	0.0628844839371155
Lysine biosynthesis	0.959443218948727	-0.078368999421631
Lysine degradation	0.959443218948727	-0.0176665439823335
N-Glycan biosynthesis	0.959443218948727	0.0684315684315684
Other glycan degradation	0.959443218948727	0.0784478679215521
Pentose and glucuronate interconversions	0.959443218948727	0.136416215363584
Pentose phosphate pathway	0.959443218948727	0.041405962458594
Peptidoglycan biosynthesis	0.959443218948727	-0.185893054314107
Phenylalanine metabolism	0.959443218948727	0.122745675377254
Phenylalanine, tyrosine and tryptophan biosynthesis	0.959443218948727	-0.0754771544245229
Phosphonate and phosphinate metabolism	0.959443218948727	0.0998738104001262
Primary bile acid biosynthesis	0.959443218948727	0.144907723855092
Propanoate metabolism	0.959443218948727	-0.0454545454545455
Purine metabolism	0.959443218948727	0.032598979967401
Pyrimidine metabolism	0.959443218948727	-0.0558651874441348
Pyruvate metabolism	0.959443218948727	0.0616225879383774
Selenocompound metabolism	0.959443218948727	0.0834428729165571
Starch and sucrose metabolism	0.959443218948727	0.0235816814764183
Steroid hormone biosynthesis	0.959443218948727	0.0288395814711604
Synthesis and degradation of ketone bodies	0.960003742870181	0.00580997949419002
Taurine and hypotaurine metabolism	0.959443218948727	0.0171144644828855
Tryptophan metabolism	0.959443218948727	-0.0314948209685052
Tyrosine metabolism	0.959443218948727	-0.160865450339135
Valine, leucine and isoleucine degradation	0.959443218948727	0.087990956412009
Various types of N-glycan biosynthesis	0.959443218948727	-0.0811612980882249
alpha-Linolenic acid metabolism	0.959443218948727	0.0936431989063568
beta-Alanine metabolism	0.959443218948727	-0.0550239234449761
CD4NAIVE 
delta_clinical ~ delta_taxa:
	adj.pvals	coeffs
Alanine, aspartate and glutamate metabolism	0.982182596064664	-0.119468482150359
Amino acid related enzymes	0.982182596064664	0.156912603057766
Amino sugar and nucleotide sugar metabolism	0.982182596064664	-0.0743414127398618
Arginine and proline metabolism	0.982182596064664	-0.0502535919881817
Ascorbate and aldarate metabolism	0.982182596064664	-0.104936499483483
Biosynthesis of unsaturated fatty acids	0.982182596064664	-0.0694883046996538
Butanoate metabolism	0.982182596064664	-0.206496329429131
Valine, leucine and isoleucine biosynthesis	0.982677674840278	0.00955583808480386
Steroid biosynthesis	0.982182596064664	-0.0673631525559885
Cyanoamino acid metabolism	0.982182596064664	-0.0778001066389396
Cysteine and methionine metabolism	0.982677674840278	-0.00635688799632875
D-Alanine metabolism	0.982182596064664	0.0226797358836761
D-Arginine and D-ornithine metabolism	0.982182596064664	0.0180590302003232
D-Glutamine and D-glutamate metabolism	0.982182596064664	0.0218594922712466
Ether lipid metabolism	0.982677674840278	-0.0124540321820548
Fatty acid biosynthesis	0.982182596064664	-0.220631861016666
Fatty acid metabolism	0.982182596064664	-0.137158402725089
