Spearman's Correlation: Delta Taxon ~ Delta Clinical
FM 
delta_clinical ~ delta_taxa
Group A:
	adj.pvals	coeffs
Alanine, aspartate and glutamate metabolism	0.989449602906867	-0.132793522267206
Amino acid related enzymes	0.997072477579802	-0.000607287449392712
Amino sugar and nucleotide sugar metabolism	0.989449602906867	-0.103238866396761
Arginine and proline metabolism	0.989449602906867	-0.0633603238866397
Ascorbate and aldarate metabolism	0.989449602906867	0.0467611336032389
Biosynthesis of unsaturated fatty acids	0.997072477579802	0.0331983805668016
Butanoate metabolism	0.997072477579802	-0.0198380566801619
Valine, leucine and isoleucine biosynthesis	0.989449602906867	-0.109919028340081
Steroid biosynthesis	0.989449602906867	0.111767167399437
Cyanoamino acid metabolism	0.989449602906867	-0.0836032388663968
Cysteine and methionine metabolism	0.989449602906867	0.0526315789473684
D-Alanine metabolism	0.989449602906867	-0.0991902834008097
D-Arginine and D-ornithine metabolism	0.989449602906867	0.37246963562753
D-Glutamine and D-glutamate metabolism	0.989449602906867	0.0611336032388664
Ether lipid metabolism	0.989449602906867	0.0651821862348178
Fatty acid biosynthesis	0.989449602906867	-0.163967611336032
Fatty acid metabolism	0.997072477579802	0.0354251012145749
Fructose and mannose metabolism	0.989449602906867	-0.214372469635628
Galactose metabolism	0.989449602906867	-0.0637651821862348
Glycosyltransferases	0.989449602906867	0.120242914979757
Glycerolipid metabolism	0.989449602906867	0.101619433198381
Glycerophospholipid metabolism	0.989449602906867	-0.0560728744939271
Glycine, serine and threonine metabolism	0.989449602906867	0.0672064777327935
Glycolysis / Gluconeogenesis	0.989449602906867	-0.106072874493927
Glycosphingolipid biosynthesis - lacto and neolacto series	0.989449602906867	0.105060728744939
Glyoxylate and dicarboxylate metabolism	0.989449602906867	0.0811740890688259
Histidine metabolism	0.989449602906867	-0.201619433198381
Inositol phosphate metabolism	0.989449602906867	0.0769230769230769
Lipid biosynthesis proteins	0.997072477579802	-0.0182186234817814
Lipopolysaccharide biosynthesis proteins	0.989449602906867	0.0939271255060729
Lysine biosynthesis	0.989449602906867	-0.140283400809717
Lysine degradation	0.989449602906867	0.0593117408906883
N-Glycan biosynthesis	0.989449602906867	0.103238866396761
Other glycan degradation	0.989449602906867	-0.065587044534413
Pentose and glucuronate interconversions	0.989449602906867	-0.0720647773279352
Pentose phosphate pathway	0.997072477579802	0.0196356275303644
Peptidoglycan biosynthesis	0.997072477579802	-0.00931174089068826
Phenylalanine metabolism	0.997072477579802	-0.0212550607287449
Phenylalanine, tyrosine and tryptophan biosynthesis	0.989449602906867	-0.0734817813765182
Phosphonate and phosphinate metabolism	0.989449602906867	0.0504048582995951
Primary bile acid biosynthesis	0.989449602906867	-0.054251012145749
Propanoate metabolism	0.997072477579802	-0.00384615384615385
Purine metabolism	0.989449602906867	0.162348178137652
Pyrimidine metabolism	0.997072477579802	0.0103238866396761
Pyruvate metabolism	0.989449602906867	-0.0880566801619433
Selenocompound metabolism	0.989449602906867	0.0690283400809717
Starch and sucrose metabolism	0.989449602906867	-0.162348178137652
Steroid hormone biosynthesis	0.997072477579802	0.0214574898785425
Synthesis and degradation of ketone bodies	0.989449602906867	0.159311740890688
Taurine and hypotaurine metabolism	0.989449602906867	-0.109514170040486
Tryptophan metabolism	0.989449602906867	0.0651821862348178
Tyrosine metabolism	0.989449602906867	-0.142712550607287
Valine, leucine and isoleucine degradation	0.989449602906867	0.207287449392713
Various types of N-glycan biosynthesis	0.989449602906867	-0.144735930020458
alpha-Linolenic acid metabolism	0.997072477579802	-0.00728744939271255
beta-Alanine metabolism	0.989449602906867	-0.0945344129554656
FM 
delta_clinical ~ delta_taxa
Group B:
	adj.pvals	coeffs
Alanine, aspartate and glutamate metabolism	0.420791554336601	0.30780172885436
Amino acid related enzymes	0.893811168135258	-0.126381442170916
Amino sugar and nucleotide sugar metabolism	0.790649568347415	0.175183280446438
Arginine and proline metabolism	0.626623537710264	0.235364919575446
Ascorbate and aldarate metabolism	0.908634529183029	0.0848014005908743
Biosynthesis of unsaturated fatty acids	0.233877574491173	-0.454207243680928
Butanoate metabolism	0.893811168135258	-0.103621840463946
Valine, leucine and isoleucine biosynthesis	0.908634529183029	-0.0506619980304191
Steroid biosynthesis	0.997398964043839	-0.00055211256770814
Cyanoamino acid metabolism	0.790649568347415	0.173870226501805
Cysteine and methionine metabolism	0.908634529183029	-0.076047707626655
D-Alanine metabolism	0.426823928096863	-0.29861035124193
D-Arginine and D-ornithine metabolism	0.997398964043839	0.000547105810263705
D-Glutamine and D-glutamate metabolism	0.932981794186109	0.0425648320385162
Ether lipid metabolism	0.893811168135258	-0.0994638363059416
Fatty acid biosynthesis	0.908634529183029	-0.0775796038953934
Fatty acid metabolism	0.873908822450616	-0.139511981617245
Fructose and mannose metabolism	0.908634529183029	0.0561330561330561
Galactose metabolism	0.317474995801524	0.369952948900317
Glycosyltransferases	0.997398964043839	0.00995732574679943
Glycerolipid metabolism	0.997398964043839	0.00623700623700624
Glycerophospholipid metabolism	0.893811168135258	0.104497209760368
Glycine, serine and threonine metabolism	0.893811168135258	-0.0972754130648867
Glycolysis / Gluconeogenesis	0.908634529183029	0.0613852719115877
Glycosphingolipid biosynthesis - lacto and neolacto series	0.660426317740366	0.21238647554437
Glyoxylate and dicarboxylate metabolism	0.317474995801524	0.344786081628187
Histidine metabolism	0.317474995801524	0.35288324762009
Inositol phosphate metabolism	0.452521338321126	0.279789911368859
Lipid biosynthesis proteins	0.856928770452905	0.150454097822519
Lipopolysaccharide biosynthesis proteins	0.990746705868437	0.0281212386475544
Lysine biosynthesis	0.997398964043839	-0.00207900207900208
Lysine degradation	0.893811168135258	-0.107123317649633
N-Glycan biosynthesis	0.997398964043839	0.0101761680709049
Other glycan degradation	0.626623537710264	0.223766276397855
Pentose and glucuronate interconversions	0.317474995801524	0.359886201991465
Pentose phosphate pathway	0.908634529183029	0.051975051975052
Peptidoglycan biosynthesis	0.420791554336601	-0.315461210198052
Phenylalanine metabolism	0.435458606903486	0.289637815953605
Phenylalanine, tyrosine and tryptophan biosynthesis	0.908634529183029	-0.0565707407812671
