FM 
taxa ~ clinical_var
	adj.pvals	coeffs
Alanine, aspartate and glutamate metabolism	1	-0.0200325989799674
Amino acid related enzymes	1	0.0941426994058573
Amino sugar and nucleotide sugar metabolism	1	0.0140385929859614
Arginine and proline metabolism	1	-0.00528418949471581
Ascorbate and aldarate metabolism	1	-0.0553131079446869
Biosynthesis of unsaturated fatty acids	1	0.139334349860666
Butanoate metabolism	1	0.0213733634786266
Valine, leucine and isoleucine biosynthesis	1	-0.0904095904095904
Steroid biosynthesis	1	0.0294677882367199
Cyanoamino acid metabolism	1	-0.0927493559072506
Cysteine and methionine metabolism	1	0.133314054366686
D-Alanine metabolism	1	0.0902781429097219
D-Arginine and D-ornithine metabolism	1	0.00197171249802829
D-Glutamine and D-glutamate metabolism	1	0.185393553814606
Ether lipid metabolism	1	-0.0742152584257847
Fatty acid biosynthesis	1	-0.0379357484620643
Fatty acid metabolism	1	0.0291813449708187
Fructose and mannose metabolism	1	-0.149902728850097
Galactose metabolism	1	-0.122377622377622
Glycosyltransferases	1	0.0648299069351701
Glycerolipid metabolism	1	-0.0794468689205531
Glycerophospholipid metabolism	1	-0.124480782375519
Glycine, serine and threonine metabolism	1	0.083548030916452
Glycolysis / Gluconeogenesis	1	0.00765024449234976
Glycosphingolipid biosynthesis - lacto and neolacto series	1	-0.108207581891792
Glyoxylate and dicarboxylate metabolism	1	-0.180950628319049
Histidine metabolism	1	0.0170355959829644
Inositol phosphate metabolism	1	-0.0178242809821757
Lipid biosynthesis proteins	1	0.132315053367685
Lipopolysaccharide biosynthesis proteins	1	0.0928282244071718
Lysine biosynthesis	1	-0.106840527893159
Lysine degradation	1	0.115621220884379
N-Glycan biosynthesis	1	0.135443503864556
Other glycan degradation	1	-0.0354382459645618
Pentose and glucuronate interconversions	1	-0.121404910878595
Pentose phosphate pathway	1	-0.15707976234292
Peptidoglycan biosynthesis	1	0.135943004364057
Phenylalanine metabolism	1	0.0312845049687155
Phenylalanine, tyrosine and tryptophan biosynthesis	1	-0.140753982859246
Phosphonate and phosphinate metabolism	1	-0.0100688784899311
Primary bile acid biosynthesis	1	-0.16125979283874
Propanoate metabolism	1	-0.0522635259477365
Purine metabolism	1	0.153688416846312
Pyrimidine metabolism	1	0.209001524790998
Pyruvate metabolism	1	0.00318102949681897
Selenocompound metabolism	1	-0.0415111204584889
Starch and sucrose metabolism	1	-0.116278458383722
Steroid hormone biosynthesis	1	0.0574688469425312
Synthesis and degradation of ketone bodies	1	-0.075556022924444
Taurine and hypotaurine metabolism	1	0.0666964614333035
Tryptophan metabolism	1	0.150270781849729
Tyrosine metabolism	1	0.217861086282139
Valine, leucine and isoleucine degradation	1	0.0837846364162154
Various types of N-glycan biosynthesis	1	0.10225485699587
alpha-Linolenic acid metabolism	1	0.0670119354329881
beta-Alanine metabolism	1	-0.0289447394710553
CD4NAIVE 
taxa ~ clinical_var
	adj.pvals	coeffs
Alanine, aspartate and glutamate metabolism	1	0.0266321386697603
Amino acid related enzymes	1	-0.117123571346281
Amino sugar and nucleotide sugar metabolism	1	0.0696037385273351
Arginine and proline metabolism	1	0.0826437590408605
Ascorbate and aldarate metabolism	1	0.175448743743974
Biosynthesis of unsaturated fatty acids	1	0.0321531150968577
Butanoate metabolism	1	0.155349760512946
Valine, leucine and isoleucine biosynthesis	1	0.0238453600922731
Steroid biosynthesis	1	0.0873982009585876
Cyanoamino acid metabolism	1	0.0645296982871933
Cysteine and methionine metabolism	1	-0.0207036616016153
D-Alanine metabolism	1	-0.0725876948343616
D-Arginine and D-ornithine metabolism	1	-0.18317811074191
D-Glutamine and D-glutamate metabolism	1	0.0104241293016387
Ether lipid metabolism	1	0.215646710206031
Fatty acid biosynthesis	1	0.0126193746905084
Fatty acid metabolism	1	0.0928707106129599
