Spearman's Correlation: Delta Taxon ~ Delta Clinical
N_STOOLS 
delta_clinical ~ delta_taxa
Group A:
	adj.pvals	coeffs
Alanine, aspartate and glutamate metabolism	0.473352259270639	0.337419116837302
Amino acid related enzymes	0.63675872942661	0.192941554614284
Amino sugar and nucleotide sugar metabolism	0.301951839873538	0.421545292308933
Arginine and proline metabolism	0.834004116688628	0.13030413048595
Ascorbate and aldarate metabolism	0.987021619993237	0.0349763718672813
Biosynthesis of unsaturated fatty acids	0.473352259270639	-0.289183728183731
Butanoate metabolism	0.834004116688628	-0.121845792191248
Valine, leucine and isoleucine biosynthesis	0.479591084060042	-0.263351505824236
Steroid biosynthesis	0.987021619993237	0.0112517831272491
Cyanoamino acid metabolism	0.834004116688628	0.138762468780652
Cysteine and methionine metabolism	0.618130586481569	0.200942685433597
D-Alanine metabolism	0.930880374959274	0.0685811213083947
D-Arginine and D-ornithine metabolism	0.987021619993237	-0.0427488989488994
D-Glutamine and D-glutamate metabolism	0.0729500877386337	0.559621949876501
Ether lipid metabolism	0.473352259270639	-0.33238983460802
Fatty acid biosynthesis	0.930880374959274	-0.0699527437345626
Fatty acid metabolism	0.987021619993237	0.0196599214417398
Fructose and mannose metabolism	0.987021619993237	0.00731531960622877
Galactose metabolism	0.584463359664278	0.21191566484294
Glycosyltransferases	0.514655679119326	0.249406677824862
Glycerolipid metabolism	0.473352259270639	-0.353649982213622
Glycerophospholipid metabolism	0.119880818723164	-0.506585882731342
Glycine, serine and threonine metabolism	0.473352259270639	0.282554219790586
Glycolysis / Gluconeogenesis	0.584463359664278	-0.215116117170665
Glycosphingolipid biosynthesis - lacto and neolacto series	0.930880374959274	0.0653806689806696
Glyoxylate and dicarboxylate metabolism	0.848679601768347	0.103328889437981
Histidine metabolism	0.564611574715694	0.234776038612405
Inositol phosphate metabolism	0.473352259270639	0.319816629034814
Lipid biosynthesis proteins	0.834004116688628	0.125274848256668
Lipopolysaccharide biosynthesis proteins	0.473352259270639	0.279125163725166
Lysine biosynthesis	0.746862361687384	-0.163908879927063
Lysine degradation	0.930880374959274	0.069724139996868
N-Glycan biosynthesis	0.473352259270639	0.302671348707715
Other glycan degradation	0.473352259270639	0.281639804839808
Pentose and glucuronate interconversions	0.8735633628102	0.0932703249794168
Pentose phosphate pathway	0.473352259270639	-0.282782823528281
Peptidoglycan biosynthesis	0.987021619993237	-0.022174562556381
Phenylalanine metabolism	0.473352259270639	0.30632900851083
Phenylalanine, tyrosine and tryptophan biosynthesis	0.479591084060042	-0.261522675922679
Phosphonate and phosphinate metabolism	0.838004971330094	0.116816509961966
Primary bile acid biosynthesis	0.990434321882208	0.00228603737694649
Propanoate metabolism	0.95556844529384	-0.0562365194728837
Purine metabolism	0.473352259270639	0.353878585951317
Pyrimidine metabolism	0.301951839873538	0.417887632505818
Pyruvate metabolism	0.987021619993237	0.00777252708161807
Selenocompound metabolism	0.834004116688628	-0.132818771600591
Starch and sucrose metabolism	0.987021619993237	-0.0230889775071596
Steroid hormone biosynthesis	0.479591084060042	0.265866146938877
Synthesis and degradation of ketone bodies	0.732559273526253	-0.170995595795597
Taurine and hypotaurine metabolism	0.566202744629824	0.229518152645428
Tryptophan metabolism	0.848679601768347	-0.102185870749508
Tyrosine metabolism	0.987021619993237	0.00800113081931272
Valine, leucine and isoleucine degradation	0.568533438536053	0.224260266678451
Various types of N-glycan biosynthesis	0.987021619993237	-0.0103648790292802
alpha-Linolenic acid metabolism	0.838517432921961	0.112473038945767
beta-Alanine metabolism	0.834004116688628	0.128018093109003
N_STOOLS 
delta_clinical ~ delta_taxa
Group B:
	adj.pvals	coeffs
Alanine, aspartate and glutamate metabolism	0.997898990752959	-0.158302390961204
Amino acid related enzymes	0.997898990752959	-0.229653549407369
Amino sugar and nucleotide sugar metabolism	0.997898990752959	-0.135797366074959
Arginine and proline metabolism	0.997898990752959	0.0219935470479218
Ascorbate and aldarate metabolism	0.997898990752959	-0.0603543849222039
Biosynthesis of unsaturated fatty acids	0.997898990752959	0.289752195410411
Butanoate metabolism	0.997898990752959	0.0186689410988173
Valine, leucine and isoleucine biosynthesis	0.997898990752959	0.0457772665299767
Steroid biosynthesis	0.997898990752959	-0.333747337137451
