Delta Taxon ~ Delta Clinical
N_STOOLS 
delta_clinical ~ delta_taxa
Group A:
	pvals	adj.pvals	coeffs
Alanine, aspartate and glutamate metabolism	0.0351701535707506	0.492382149990509	216.938461086518
Amino acid related enzymes	0.662588190099034	0.927623466138648	54.9495133428754
Amino sugar and nucleotide sugar metabolism	0.0331334562703233	0.492382149990509	162.886304205248
Arginine and proline metabolism	0.941083502442687	0.994672295757727	-5.65391368312694
Ascorbate and aldarate metabolism	0.566618986811623	0.890931487633789	61.2683715793579
Biosynthesis of unsaturated fatty acids	0.137253478730308	0.682588852298337	-206.747957590513
Butanoate metabolism	0.467531779752751	0.844573537617872	-76.3693526973443
Valine, leucine and isoleucine biosynthesis	0.236536140497118	0.735890214879923	-73.2257774253253
Steroid biosynthesis	0.554697640704652	0.890931487633789	-55.4466485950736
Cyanoamino acid metabolism	0.77173699239741	0.974965801427239	-19.6981697170463
Cysteine and methionine metabolism	0.564154316360427	0.890931487633789	72.5247984724113
D-Alanine metabolism	0.770816264007083	0.974965801427239	89.0571816949112
D-Arginine and D-ornithine metabolism	0.935886912816385	0.994672295757727	-10.2535014652807
D-Glutamine and D-glutamate metabolism	0.00420968932978875	0.23574260246817	571.621326454472
Ether lipid metabolism	0.10193658955784	0.682588852298337	-413.976694375552
Fatty acid biosynthesis	0.41645270553379	0.785294356903398	-157.59308661859
Fatty acid metabolism	0.898857755568473	0.994672295757727	-18.5588363452706
Fructose and mannose metabolism	0.629643498003394	0.916174310053931	47.7903421805523
Galactose metabolism	0.382287668806326	0.785294356903398	54.5564654661718
Glycosyltransferases	0.162506517885076	0.682588852298337	94.3603217682903
Glycerolipid metabolism	0.116591866763099	0.682588852298337	-104.069530792417
Glycerophospholipid metabolism	0.026088378090656	0.492382149990509	-228.419207805747
Glycine, serine and threonine metabolism	0.165098854202473	0.682588852298337	253.957825407317
Glycolysis / Gluconeogenesis	0.156363878060587	0.682588852298337	-185.921137680082
Glycosphingolipid biosynthesis - lacto and neolacto series	0.991623159096947	0.994672295757727	1.99280467381533
Glyoxylate and dicarboxylate metabolism	0.994672295757727	0.994672295757727	0.896959960410217
Histidine metabolism	0.572741670621722	0.890931487633789	51.8759285719067
Inositol phosphate metabolism	0.260211042024149	0.746823223492203	133.935017112835
Lipid biosynthesis proteins	0.798826658926592	0.974965801427239	-33.7439078219815
Lipopolysaccharide biosynthesis proteins	0.148234113883029	0.682588852298337	37.1584632562805
Lysine biosynthesis	0.54535580239766	0.890931487633789	-64.5607162985322
Lysine degradation	0.859605404438935	0.994672295757727	25.6574592116482
N-Glycan biosynthesis	0.0807328571968619	0.682588852298337	170.690639459345
Other glycan degradation	0.212447374416976	0.699826645138273	37.819932009217
Pentose and glucuronate interconversions	0.800864765458089	0.974965801427239	11.4913643558554
Pentose phosphate pathway	0.208153247107724	0.699826645138273	-114.515613493468
Peptidoglycan biosynthesis	0.755448410473038	0.974965801427239	27.4164635895979
Phenylalanine metabolism	0.17800257879625	0.682588852298337	195.448167691558
Phenylalanine, tyrosine and tryptophan biosynthesis	0.293394837800508	0.746823223492203	-134.894016716462
Phosphonate and phosphinate metabolism	0.947796736609414	0.994672295757727	5.35814803769798
Primary bile acid biosynthesis	0.942313056934417	0.994672295757727	7.22987106454934
Propanoate metabolism	0.779875689139631	0.974965801427239	-41.6796041153876
Purine metabolism	0.122342771836807	0.682588852298337	104.438083467547
Pyrimidine metabolism	0.182836299722769	0.682588852298337	90.6508959116503
Pyruvate metabolism	0.621717258672443	0.916174310053931	-44.1825813015624
Selenocompound metabolism	0.406984927188931	0.785294356903398	-183.311461515735
Starch and sucrose metabolism	0.393275483550838	0.785294356903398	-46.9494149859114
Steroid hormone biosynthesis	0.269225771316214	0.746823223492203	75.2231933944922
Synthesis and degradation of ketone bodies	0.359987735584188	0.785294356903398	-115.055921547346
Taurine and hypotaurine metabolism	0.402648987900556	0.785294356903398	120.321579455873
Tryptophan metabolism	0.854693004869961	0.994672295757727	-24.3460302517445
Tyrosine metabolism	0.638049965930416	0.916174310053931	-99.0272528944237
Valine, leucine and isoleucine degradation	0.285832942626859	0.746823223492203	102.567559846238
Various types of N-glycan biosynthesis	0.368694530694186	0.785294356903398	167.143991901344
alpha-Linolenic acid metabolism	0.966045328211319	0.994672295757727	-10.1596453218095
beta-Alanine metabolism	0.420693405483963	0.785294356903398	97.1220013421438
N_STOOLS 
delta_clinical ~ delta_taxa
Group B:
	pvals	adj.pvals	coeffs
Alanine, aspartate and glutamate metabolism	0.687123444694043	0.992871807236599	-59.5602030674759
Amino acid related enzymes	0.723657937943837	0.992871807236599	-52.3111025536884
Amino sugar and nucleotide sugar metabolism	0.323243119180763	0.774917068995363	-79.5897805531719
Arginine and proline metabolism	0.759446645887478	0.992871807236599	25.2925529936905
Ascorbate and aldarate metabolism	0.992871807236599	0.992871807236599	1.5476715689288
Biosynthesis of unsaturated fatty acids	0.33572890755802	0.774917068995363	287.846343836986
Butanoate metabolism	0.9575661601407	0.992871807236599	6.91412479886996
Valine, leucine and isoleucine biosynthesis	0.262676597676653	0.774917068995363	79.5241959083218
Steroid biosynthesis	0.406367947671672	0.780587238719074	-175.047449838183
Cyanoamino acid metabolism	0.78470751317113	0.992871807236599	-22.5699389711727
Cysteine and methionine metabolism	0.938950166542327	0.992871807236599	15.2103228229923
D-Alanine metabolism	0.908305171725152	0.992871807236599	-39.8188413716198
D-Arginine and D-ornithine metabolism	0.272623070707299	0.774917068995363	-191.165589525563
D-Glutamine and D-glutamate metabolism	0.0711328193173311	0.774917068995363	-446.184579948858
Ether lipid metabolism	0.00495160024427452	0.277289613679373	742.635865920749
Fatty acid biosynthesis	0.990311008248477	0.992871807236599	2.06676267302685
Fatty acid metabolism	0.702108247707411	0.992871807236599	67.6447927035104
Fructose and mannose metabolism	0.913949292407482	0.992871807236599	11.9176888851727
Galactose metabolism	0.808767078178289	0.992871807236599	15.0900417500009
Glycosyltransferases	0.308466476101919	0.774917068995363	-80.2020027244312
Glycerolipid metabolism	0.267481731968994	0.774917068995363	96.8661710757436
Glycerophospholipid metabolism	0.0906713543940039	0.774917068995363	200.841756721301
Glycine, serine and threonine metabolism	0.929568470706372	0.992871807236599	-18.1939123006554
Glycolysis / Gluconeogenesis	0.950774234751601	0.992871807236599	10.9686834812549
Glycosphingolipid biosynthesis - lacto and neolacto series	0.897748222075456	0.992871807236599	32.7527387344513
Glyoxylate and dicarboxylate metabolism	0.441981160234095	0.79841757977772	116.012956089592
Histidine metabolism	0.884862603204686	0.992871807236599	-13.8699030418055
