Significant Taxon ~ Clinical at Timepoint
CD8EM 
pvals	adj.pvals	coeffs
Amino acid related enzymes	0.0172400870803798	0.237986320740547	9.730213636836e-05
Arginine and proline metabolism	0.0527671987478034	0.241817332596858	-0.000111912756009524
Ascorbate and aldarate metabolism	0.0212487786375489	0.237986320740547	-6.31741878617528e-05
Valine, leucine and isoleucine biosynthesis	0.0492747511398644	0.241817332596858	-0.000138746681568358
D-Alanine metabolism	0.0183604184216442	0.237986320740547	4.70777250489164e-05
D-Glutamine and D-glutamate metabolism	0.0551841417800845	0.241817332596858	3.17357776385236e-05
Fructose and mannose metabolism	0.00606402942614347	0.237986320740547	-0.000129122711296107
Galactose metabolism	0.0863633330703065	0.241817332596858	-0.0001455124977803
Glycosyltransferases	0.0753125636291595	0.241817332596858	0.000106111006295418
Glycolysis / Gluconeogenesis	0.0631373422545669	0.241817332596858	-5.85055212813456e-05
Glyoxylate and dicarboxylate metabolism	0.0708690391233955	0.241817332596858	-7.20043139914568e-05
Histidine metabolism	0.0330730870348707	0.241817332596858	-0.000116217414127498
Inositol phosphate metabolism	0.0695122496900017	0.241817332596858	-5.01499626340968e-05
Pentose and glucuronate interconversions	0.0532007317897996	0.241817332596858	-0.000193476325583698
Pentose phosphate pathway	0.0804845628403991	0.241817332596858	-7.98165594534313e-05
Purine metabolism	0.0363373046073115	0.241817332596858	0.000138738494858202
Pyrimidine metabolism	0.0616372032069876	0.241817332596858	0.000128038163876601
Pyruvate metabolism	0.0256752028120999	0.239635226246265	-0.000132520313800592
AVG24HRC 
pvals	adj.pvals	coeffs
Alanine, aspartate and glutamate metabolism	0.0328343205715934	0.144316674243005	0.000106270549772079
Amino sugar and nucleotide sugar metabolism	0.00110701281935199	0.0619927178837116	0.00026563655491192
Ascorbate and aldarate metabolism	0.0178901465825375	0.107729414539104	0.000103649708124195
Biosynthesis of unsaturated fatty acids	0.0167535343340287	0.107729414539104	-5.75447894528747e-05
Cyanoamino acid metabolism	0.0123128533823756	0.107729414539104	0.000247868864246965
Galactose metabolism	0.0192373954534115	0.107729414539104	0.000316531498294955
Glycosphingolipid biosynthesis - lacto and neolacto series	0.0167151250641618	0.107729414539104	6.37935059601879e-05
Other glycan degradation	0.00404503136232689	0.107729414539104	0.000599422930357135
Phenylalanine, tyrosine and tryptophan biosynthesis	0.0335020850921263	0.144316674243005	-0.000109236310922658
Propanoate metabolism	0.0328957775394916	0.144316674243005	-9.23887099394499e-05
Steroid hormone biosynthesis	0.00892595608225772	0.107729414539104	0.000254565986337829
Taurine and hypotaurine metabolism	0.0140016049516089	0.107729414539104	8.3973347392007e-05
Tyrosine metabolism	0.0471464362098951	0.18858574483958	-5.08237980610623e-05
Various types of N-glycan biosynthesis	0.0158645669365185	0.107729414539104	-6.87953316045779e-05
AVG48HRC 
pvals	adj.pvals	coeffs
Valine, leucine and isoleucine biosynthesis	0.0206045476142863	0.16483638091429	-0.000227587249680558
Fatty acid biosynthesis	0.0050417768843078	0.141169752760618	-9.51810691759989e-05
Fatty acid metabolism	0.0159339295879454	0.16483638091429	-6.73656863555434e-05
Glycosyltransferases	0.039553279990341	0.187227174209272	0.000171608003433225
Glycerolipid metabolism	0.0198716540767782	0.16483638091429	-0.000168050239609382
Glycolysis / Gluconeogenesis	0.0405368247375221	0.187227174209272	-9.15054315893484e-05
Lipopolysaccharide biosynthesis proteins	0.0456528508071188	0.187227174209272	0.00044221072805655
Lysine biosynthesis	0.0154058123268998	0.16483638091429	-0.000115731479636179
N-Glycan biosynthesis	0.0296240960217751	0.187227174209272	0.000103843484045504
Phenylalanine, tyrosine and tryptophan biosynthesis	0.0380973094018805	0.187227174209272	-9.43704953378768e-05
Propanoate metabolism	0.00106004230722147	0.0593623692044026	-0.000121680074103103
Pyruvate metabolism	0.0173728999270213	0.16483638091429	-0.000200797058382813
Selenocompound metabolism	0.046806793552318	0.187227174209272	3.69917242406544e-05
Tyrosine metabolism	0.0768516702366983	0.230521160338176	-4.02507084586651e-05
beta-Alanine metabolism	0.0780335506234511	0.230521160338176	7.07711844004112e-05
LARGSTRESPC 
pvals	adj.pvals	coeffs
Amino sugar and nucleotide sugar metabolism	0.0247229263670278	0.187840848056999	0.0001648328629604
Valine, leucine and isoleucine biosynthesis	0.0325686730805172	0.187840848056999	-0.000209314907911282
Fatty acid biosynthesis	0.0156092899117353	0.187840848056999	-8.22311625869071e-05
Fatty acid metabolism	0.018392872069045	0.187840848056999	-6.5471011598338e-05
Glycosyltransferases	0.0482846977530876	0.187840848056999	0.000163665741240158
Glycerolipid metabolism	0.0250680847964241	0.187840848056999	-0.000160760123669052
Glycine, serine and threonine metabolism	0.0451404133417466	0.187840848056999	5.31601241959326e-05
Glycolysis / Gluconeogenesis	0.0688620619279015	0.218387834558724	-8.10089415873549e-05
Lipopolysaccharide biosynthesis proteins	0.0464420248475012	0.187840848056999	0.000437344877073697
Lysine biosynthesis	0.0172882211617864	0.187840848056999	-0.000112967579363417
N-Glycan biosynthesis	0.0359326580564579	0.187840848056999	9.95502845718781e-05
Phenylalanine, tyrosine and tryptophan biosynthesis	0.0296382231763083	0.187840848056999	-9.80216250562507e-05
Propanoate metabolism	0.00122025160439611	0.068334089846182	-0.00011943275798787
Pyruvate metabolism	0.0413245088882571	0.187840848056999	-0.000172153851562192
Selenocompound metabolism	0.0424488671550581	0.187840848056999	3.74409156915762e-05
Tyrosine metabolism	0.0503145128724104	0.187840848056999	-4.40436796619515e-05
beta-Alanine metabolism	0.0701960896795897	0.218387834558724	7.21073301520998e-05
ANTI_CD3_1UG_PER_ML 
pvals	adj.pvals	coeffs
Alanine, aspartate and glutamate metabolism	0.0650749067351974	0.227762173573191	-5.00227949169585e-08
Arginine and proline metabolism	0.0502471799609523	0.187589471854222	-9.87694506071747e-08
Ascorbate and aldarate metabolism	0.0380032140056788	0.177060814427225	-4.99283057492926e-08
Butanoate metabolism	0.0188491256578035	0.131928302606919	-6.49604435863519e-08
Cysteine and methionine metabolism	0.0432517056178513	0.177060814427225	4.16761865558446e-08
Fatty acid biosynthesis	0.0186885291342796	0.131928302606919	-4.93416846211906e-08
Fatty acid metabolism	0.000637711388772776	0.0357118377712755	-5.71939992174803e-08
Inositol phosphate metabolism	0.00321726654137212	0.0600556421056129	-6.93603863611297e-08
Lipid biosynthesis proteins	0.0235586254655212	0.131928302606919	-4.39094424272941e-08
Lysine degradation	0.00244784392791847	0.0600556421056129	-4.44167043659362e-08
Other glycan degradation	0.0442652036068062	0.177060814427225	-2.32096624776268e-07
Pentose and glucuronate interconversions	0.069287405965626	0.228240866710297	-1.5910115182856e-07
Phenylalanine metabolism	0.0104459241843556	0.131928302606919	-5.0445016286231e-08
Phosphonate and phosphinate metabolism	0.0178556869239305	0.131928302606919	-8.77590836825765e-08
Pyruvate metabolism	0.0777394525687578	0.241856074658358	-9.23028029539267e-08
Selenocompound metabolism	0.0125648159903147	0.131928302606919	2.81650144773194e-08
Steroid hormone biosynthesis	0.022390264108782	0.131928302606919	-1.23542546319101e-07
Tyrosine metabolism	0.0279389861892959	0.14223483878187	-3.03618038042667e-08
STOOL_TNF 
pvals	adj.pvals	coeffs
Amino acid related enzymes	0.0075260058998266	0.0508117021125604	-0.000682304381308571
Ascorbate and aldarate metabolism	0.00776850836755462	0.0508117021125604	0.000503257117923024
Butanoate metabolism	0.0126431043726028	0.0544626034512122	0.000503515395018822
Valine, leucine and isoleucine biosynthesis	0.0156629400236579	0.0569141084319112	0.00107961673018887
Cysteine and methionine metabolism	0.00163773097425979	0.0452431520834436	-0.00048340921604114
D-Alanine metabolism	0.00123492229396552	0.0452431520834436	-0.000417633241695725
Ether lipid metabolism	0.0624396245721684	0.134485345232363	0.00016520203394232
Fatty acid biosynthesis	0.0298304745445658	0.0867884762114559	0.000352820595390312
Fatty acid metabolism	0.115782095922119	0.202618667863709	0.000217857884192014
Fructose and mannose metabolism	0.0203862695339986	0.0671547702296425	0.000755970755573802
Galactose metabolism	0.0315961570755613	0.0867884762114559	0.00124911166265698
Glycosyltransferases	0.0660300114796632	0.136951134920783	-0.000719298198384173
Glycerolipid metabolism	0.0878576236973232	0.158875566705336	0.000578991993286836
Glycosphingolipid biosynthesis - lacto and neolacto series	0.0568453296474479	0.12795184814374	0.000232647097790558
Histidine metabolism	0.0159998791530433	0.0569141084319112	0.000837689626238034
Lipopolysaccharide biosynthesis proteins	0.120423982576148	0.20435584922013	-0.00172297504818647
Lysine biosynthesis	0.083544087323243	0.158875566705336	0.000427063317589323
Pentose and glucuronate interconversions	0.0120490050363984	0.0544626034512122	0.00156955557148427
Pentose phosphate pathway	0.0238016775044044	0.0740496633470359	0.000652839620628321
Peptidoglycan biosynthesis	0.00242374029018448	0.0452431520834436	-0.00101656711822634
Primary bile acid biosynthesis	0.0071455558965104	0.0508117021125604	0.000728501853487348
Propanoate metabolism	0.0162611738376889	0.0569141084319112	0.000422313851063257
Pyrimidine metabolism	0.00434649759511658	0.0508117021125604	-0.0012281323818388
Pyruvate metabolism	0.00718866666793094	0.0508117021125604	0.000954004350367822
Selenocompound metabolism	0.032545678579296	0.0867884762114559	-0.000191100237491996
