Spearman's Correlation: Delta Taxon ~ Delta Clinical
SERUMPK 
delta_clinical ~ delta_taxa
Group A:
	adj.pvals	coeffs
Alanine, aspartate and glutamate metabolism	0.995344904831385	-0.0255868285040861
Amino acid related enzymes	0.995344904831385	0.0106797197234446
Amino sugar and nucleotide sugar metabolism	0.995344904831385	-0.172210480540545
Arginine and proline metabolism	0.995344904831385	0.186227612677566
Ascorbate and aldarate metabolism	0.995344904831385	-0.0160195795851669
Biosynthesis of unsaturated fatty acids	0.995344904831385	0.110357103808928
Butanoate metabolism	0.995344904831385	-0.096784959993717
Valine, leucine and isoleucine biosynthesis	0.995344904831385	0.062298365053427
Steroid biosynthesis	0.995344904831385	0.0161984610200834
Cyanoamino acid metabolism	0.995344904831385	-0.127266660037715
Cysteine and methionine metabolism	0.995344904831385	-0.0556235402262741
D-Alanine metabolism	0.995344904831385	-0.0298142175612829
D-Arginine and D-ornithine metabolism	0.995344904831385	-0.143286239622882
D-Glutamine and D-glutamate metabolism	0.995344904831385	0.020691956964174
Ether lipid metabolism	0.995344904831385	0.036934030710246
Fatty acid biosynthesis	0.995344904831385	0.239848705455694
Fatty acid metabolism	0.995344904831385	0.199577262331872
Fructose and mannose metabolism	0.995344904831385	-0.00823228395348857
Galactose metabolism	0.995344904831385	-0.0627433533752372
Glycosyltransferases	0.995344904831385	0.05762598767442
Glycerolipid metabolism	0.995344904831385	0.113027033739789
Glycerophospholipid metabolism	0.995344904831385	0.0502836803645518
Glycine, serine and threonine metabolism	0.995344904831385	0.0743130497423022
Glycolysis / Gluconeogenesis	0.995344904831385	0.223829125870527
Glycosphingolipid biosynthesis - lacto and neolacto series	0.995344904831385	-0.0442763380201142
Glyoxylate and dicarboxylate metabolism	0.995344904831385	0.00756480147077328
Histidine metabolism	0.995344904831385	0.046056291307355
Inositol phosphate metabolism	0.995344904831385	0.0255868285040861
Lipid biosynthesis proteins	0.995344904831385	0.260985650741678
Lipopolysaccharide biosynthesis proteins	0.995344904831385	0.104572255625395
Lysine biosynthesis	0.995344904831385	-0.0164645679069771
Lysine degradation	0.995344904831385	-0.0364890423884358
N-Glycan biosynthesis	0.995344904831385	-0.0315941708485237
Other glycan degradation	0.995344904831385	0.0064523306662478
Pentose and glucuronate interconversions	0.995344904831385	0.0505061745254569
Pentose phosphate pathway	0.995344904831385	0.154633441829042
Peptidoglycan biosynthesis	0.995344904831385	0.20825453460717
Phenylalanine metabolism	0.995344904831385	0.00511736570081722
Phenylalanine, tyrosine and tryptophan biosynthesis	0.995344904831385	0.0558460343871792
Phosphonate and phosphinate metabolism	0.995344904831385	0.102569808177249
Primary bile acid biosynthesis	0.995344904831385	0.106352208912636
Propanoate metabolism	0.995344904831385	0.0912226059710896
Purine metabolism	0.995344904831385	0.0513961511690773
Pyrimidine metabolism	0.995344904831385	0.0177995328724077
Pyruvate metabolism	0.995344904831385	0.285682502602144
Selenocompound metabolism	0.995344904831385	0.0952275008673813
Starch and sucrose metabolism	0.995344904831385	0.0387139839974868
Steroid hormone biosynthesis	0.995344904831385	-0.0743130497423022
Synthesis and degradation of ketone bodies	0.995344904831385	-0.250750919340044
Taurine and hypotaurine metabolism	0.995344904831385	0.00111247080452548
Tryptophan metabolism	0.995344904831385	-0.0634108358579525
Tyrosine metabolism	0.995344904831385	0.336856159610316
Valine, leucine and isoleucine degradation	0.995344904831385	-0.0424963847328734
Various types of N-glycan biosynthesis	0.995344904831385	0.101105405769919
alpha-Linolenic acid metabolism	0.995344904831385	0.135053955669394
beta-Alanine metabolism	0.995344904831385	0.0233618868950351
SERUMPK 
delta_clinical ~ delta_taxa
Group B:
	adj.pvals	coeffs
Alanine, aspartate and glutamate metabolism	0.769163382515925	0.067487684729064
Amino acid related enzymes	0.516714611109262	0.188669950738916
Amino sugar and nucleotide sugar metabolism	0.516714611109262	0.186699507389163
Arginine and proline metabolism	0.396853808886121	-0.249753694581281
Ascorbate and aldarate metabolism	0.32190496291185	-0.41871921182266
Biosynthesis of unsaturated fatty acids	0.754033012350787	0.0817733990147783
Butanoate metabolism	0.32190496291185	-0.302955665024631
Valine, leucine and isoleucine biosynthesis	0.32190496291185	-0.303448275862069
Steroid biosynthesis	0.32190496291185	-0.299114355385154
Cyanoamino acid metabolism	0.712985707197374	0.110837438423645
Cysteine and methionine metabolism	0.32190496291185	0.428571428571428
D-Alanine metabolism	0.268137012258764	0.472906403940887
D-Arginine and D-ornithine metabolism	0.454737695764314	-0.216256157635468
D-Glutamine and D-glutamate metabolism	0.398171190189851	0.245320197044335
Ether lipid metabolism	0.651191170282748	-0.144827586206897
Fatty acid biosynthesis	0.712985707197374	-0.0985221674876847
Fatty acid metabolism	0.32190496291185	-0.400985221674877
Fructose and mannose metabolism	0.712985707197374	-0.101477832512315
Galactose metabolism	0.859053129407633	-0.0369458128078818
Glycosyltransferases	0.32190496291185	0.309852216748768
Glycerolipid metabolism	0.32190496291185	-0.35320197044335
Glycerophospholipid metabolism	0.712985707197374	-0.101970443349754
Glycine, serine and threonine metabolism	0.339332394086891	0.283251231527094
Glycolysis / Gluconeogenesis	0.396853808886121	-0.252216748768473
Glycosphingolipid biosynthesis - lacto and neolacto series	0.664796656531658	-0.13448275862069
Glyoxylate and dicarboxylate metabolism	0.398171190189851	-0.241871921182266
Histidine metabolism	0.339332394086891	-0.28128078817734
Inositol phosphate metabolism	0.268137012258764	-0.475369458128079
Lipid biosynthesis proteins	0.603759539142628	-0.159113300492611
Lipopolysaccharide biosynthesis proteins	0.339332394086891	0.285714285714286
Lysine biosynthesis	0.441833560845984	-0.223152709359606
Lysine degradation	0.32190496291185	-0.33448275862069
N-Glycan biosynthesis	0.485755412317422	0.204926108374384
Other glycan degradation	0.763459785792758	0.0724137931034483
Pentose and glucuronate interconversions	0.32190496291185	-0.315270935960591
Pentose phosphate pathway	0.32190496291185	-0.341379310344828
Peptidoglycan biosynthesis	0.32190496291185	0.39064039408867
Phenylalanine metabolism	0.32190496291185	-0.354679802955665
Phenylalanine, tyrosine and tryptophan biosynthesis	0.652425350169224	-0.140886699507389
Phosphonate and phosphinate metabolism	0.32190496291185	-0.318226600985222
Primary bile acid biosynthesis	0.396853808886121	-0.260591133004926
Propanoate metabolism	0.32190496291185	-0.31871921182266
Purine metabolism	0.501288008913745	0.197536945812808
Pyrimidine metabolism	0.396853808886121	0.255665024630542
Pyruvate metabolism	0.32190496291185	-0.335960591133005
Selenocompound metabolism	0.712985707197374	0.104433497536946
Starch and sucrose metabolism	0.763459785792758	0.0733990147783251
Steroid hormone biosynthesis	0.7148914661609	0.0945812807881773
Synthesis and degradation of ketone bodies	0.712985707197374	-0.10935960591133
Taurine and hypotaurine metabolism	0.441833560845984	0.22512315270936
Tryptophan metabolism	0.32190496291185	-0.364532019704433
Tyrosine metabolism	0.712985707197374	-0.106403940886699
Valine, leucine and isoleucine degradation	0.859053129407633	-0.0344827586206896
Various types of N-glycan biosynthesis	0.859053129407633	-0.0378318329456336
alpha-Linolenic acid metabolism	0.526672726863244	-0.180788177339901
beta-Alanine metabolism	0.32190496291185	0.349261083743842
MK4 
delta_clinical ~ delta_taxa
Group A:
	adj.pvals	coeffs
Alanine, aspartate and glutamate metabolism	0.672725747665079	-0.17285873192436
Amino acid related enzymes	0.672725747665079	0.17686318131257
Amino sugar and nucleotide sugar metabolism	0.918627657308669	0.0513904338153504
Arginine and proline metabolism	0.157716092333453	-0.456284760845384
Ascorbate and aldarate metabolism	0.830027236479369	0.0936596218020022
Biosynthesis of unsaturated fatty acids	0.665643962749208	0.183092324805339
Butanoate metabolism	0.770881606950265	0.137708565072303
Valine, leucine and isoleucine biosynthesis	0.65479606522073	-0.207563959955506
Steroid biosynthesis	0.978677099704787	-0.0134591955808524
Cyanoamino acid metabolism	0.471449630250277	-0.285428253615128
Cysteine and methionine metabolism	0.14188075938582	0.497664071190211
D-Alanine metabolism	0.473078320029902	0.272080088987764
D-Arginine and D-ornithine metabolism	0.918627657308669	-0.0567296996662959
D-Glutamine and D-glutamate metabolism	0.672725747665079	0.168854282536151
Ether lipid metabolism	0.930169071086426	-0.0309232480533927
Fatty acid biosynthesis	0.443926316441674	-0.296996662958843
Fatty acid metabolism	0.930169071086426	-0.0327030033370412
Fructose and mannose metabolism	0.918627657308669	0.0513904338153504
Galactose metabolism	0.394750218041276	-0.320133481646274
Glycosyltransferases	0.785585038974779	0.111902113459399
Glycerolipid metabolism	0.65479606522073	-0.217352614015573
Glycerophospholipid metabolism	0.324990222034861	-0.366407119021135
Glycine, serine and threonine metabolism	0.785585038974779	0.112791991101224
Glycolysis / Gluconeogenesis	0.473078320029902	-0.270745272525028
Glycosphingolipid biosynthesis - lacto and neolacto series	0.201150923631588	-0.429143492769744
Glyoxylate and dicarboxylate metabolism	0.324990222034861	-0.368631813125695
Histidine metabolism	0.392491593088101	-0.32769744160178
Inositol phosphate metabolism	0.984175333044809	0.00378197997775306
Lipid biosynthesis proteins	0.665643962749208	-0.191991101223582
Lipopolysaccharide biosynthesis proteins	0.89368169668998	0.0687430478309232
Lysine biosynthesis	0.473078320029902	-0.268075639599555
Lysine degradation	0.984175333044809	-0.00778642936596218
N-Glycan biosynthesis	0.65479606522073	0.214238042269188
Other glycan degradation	0.65479606522073	-0.205784204671858
Pentose and glucuronate interconversions	0.651111540624943	-0.230255839822024
Pentose phosphate pathway	0.427123587242661	-0.30678531701891
Peptidoglycan biosynthesis	0.785585038974779	0.11412680756396
Phenylalanine metabolism	0.785585038974779	-0.107452725250278
Phenylalanine, tyrosine and tryptophan biosynthesis	0.665643962749208	-0.183537263626251
Phosphonate and phosphinate metabolism	0.665643962749208	-0.196440489432703
Primary bile acid biosynthesis	0.14188075938582	-0.507007786429366
Propanoate metabolism	0.891802348805842	-0.0731924360400445
Purine metabolism	0.332138422249669	0.356173526140156
Pyrimidine metabolism	0.14188075938582	0.477641824249166
Pyruvate metabolism	0.342319203369315	-0.345939933259177
Selenocompound metabolism	0.723192379776351	-0.155061179087875
Starch and sucrose metabolism	0.217132056072745	-0.413125695216908
Steroid hormone biosynthesis	0.891802348805842	-0.0758620689655172
Synthesis and degradation of ketone bodies	0.741028185771712	0.147497219132369
Taurine and hypotaurine metabolism	0.65479606522073	0.203559510567297
Tryptophan metabolism	0.930169071086426	-0.028698553948832
Tyrosine metabolism	0.930169071086426	0.0433815350389321
Valine, leucine and isoleucine degradation	0.785585038974779	0.112791991101224
Various types of N-glycan biosynthesis	0.785585038974779	0.130561065962921
alpha-Linolenic acid metabolism	0.930169071086426	-0.0313681868743048
beta-Alanine metabolism	0.785585038974779	-0.106562847608454
MK4 
delta_clinical ~ delta_taxa
Group B:
	adj.pvals	coeffs
Alanine, aspartate and glutamate metabolism	0.906001210600259	0.239408866995074
Amino acid related enzymes	0.906001210600259	0.291133004926108
Amino sugar and nucleotide sugar metabolism	0.906001210600259	0.187192118226601
Arginine and proline metabolism	0.906001210600259	-0.130541871921182
Ascorbate and aldarate metabolism	0.906001210600259	-0.101970443349754
Biosynthesis of unsaturated fatty acids	0.906001210600259	-0.25320197044335
Butanoate metabolism	0.906001210600259	-0.294581280788177
Valine, leucine and isoleucine biosynthesis	0.906001210600259	-0.110837438423645
Steroid biosynthesis	0.9700498824324	0.0327388846690219
Cyanoamino acid metabolism	0.906001210600259	0.31871921182266
Cysteine and methionine metabolism	0.906001210600259	0.170443349753695
D-Alanine metabolism	0.936986777234846	-0.0635467980295566
D-Arginine and D-ornithine metabolism	0.906001210600259	-0.185221674876847
D-Glutamine and D-glutamate metabolism	0.906001210600259	0.188177339901478
Ether lipid metabolism	0.906001210600259	-0.149261083743842
Fatty acid biosynthesis	0.906001210600259	-0.187192118226601
Fatty acid metabolism	0.906001210600259	-0.177832512315271
Fructose and mannose metabolism	0.936986777234846	-0.0610837438423645
Galactose metabolism	0.979766935407831	-0.00492610837438424
Glycosyltransferases	0.935619321104589	0.0699507389162561
Glycerolipid metabolism	0.906001210600259	-0.230049261083744
Glycerophospholipid metabolism	0.979766935407831	0.00689655172413793
Glycine, serine and threonine metabolism	0.906001210600259	0.188669950738916
Glycolysis / Gluconeogenesis	0.906001210600259	-0.0970443349753694
Glycosphingolipid biosynthesis - lacto and neolacto series	0.906001210600259	0.261576354679803
Glyoxylate and dicarboxylate metabolism	0.906001210600259	-0.177832512315271
Histidine metabolism	0.979766935407831	-0.00788177339901478
Inositol phosphate metabolism	0.906001210600259	-0.184729064039409
