SERUMPK 
taxa ~ clinical_var
	pvals	adj.pvals	coeffs
Alanine, aspartate and glutamate metabolism	0.286785057262351	0.827325357184166	-0.000364609021949707
Amino acid related enzymes	0.950079885358781	0.970382600996993	-2.66797867979433e-05
Amino sugar and nucleotide sugar metabolism	0.318087219307073	0.827325357184166	-0.000531232988591477
Arginine and proline metabolism	0.868555914194949	0.970382600996993	0.000105795038423767
Ascorbate and aldarate metabolism	0.325020676036637	0.827325357184166	-0.00030868176922484
Biosynthesis of unsaturated fatty acids	0.489655109183771	0.970382600996993	0.000144496727692245
Butanoate metabolism	0.953054340264904	0.970382600996993	-2.03182153707812e-05
Valine, leucine and isoleucine biosynthesis	0.430181791483868	0.970382600996993	0.000598316993813741
Steroid biosynthesis	0.78955452842343	0.970382600996993	-7.52703962907275e-05
Cyanoamino acid metabolism	0.862453770830036	0.970382600996993	-9.64439220012401e-05
Cysteine and methionine metabolism	0.64790697890994	0.970382600996993	0.000136354384826125
D-Alanine metabolism	0.637965722022117	0.970382600996993	9.5451592012329e-05
D-Arginine and D-ornithine metabolism	0.22617489803761	0.827325357184166	-0.000308611333122819
D-Glutamine and D-glutamate metabolism	0.185593834711111	0.827325357184166	-0.00021368433282414
Ether lipid metabolism	0.31355070953767	0.827325357184166	0.000141379490309714
Fatty acid biosynthesis	0.621923278980016	0.970382600996993	-0.000136554937973932
Fatty acid metabolism	0.812591657871977	0.970382600996993	5.14339794121182e-05
Fructose and mannose metabolism	0.900408383899984	0.970382600996993	-6.47557523676045e-05
Galactose metabolism	0.627938315230218	0.970382600996993	-0.000403575137310838
Glycosyltransferases	0.244175891675554	0.827325357184166	-0.000701434081135014
Glycerolipid metabolism	0.433841557145933	0.970382600996993	0.000428476457039016
Glycerophospholipid metabolism	0.164923978974424	0.827325357184166	0.00052257090911926
Glycine, serine and threonine metabolism	0.857867227688673	0.970382600996993	-3.7518807486773e-05
Glycolysis / Gluconeogenesis	0.596296136040979	0.970382600996993	0.000178932308490811
Glycosphingolipid biosynthesis - lacto and neolacto series	0.0921027157253708	0.827325357184166	-0.000341233631689721
Glyoxylate and dicarboxylate metabolism	0.851214036542239	0.970382600996993	8.49725160421044e-05
Histidine metabolism	0.67405828978027	0.970382600996993	-0.000268251003671974
Inositol phosphate metabolism	0.265315997368818	0.827325357184166	-0.000326765624060969
Lipid biosynthesis proteins	0.126147167146956	0.827325357184166	-0.000416717494874162
Lipopolysaccharide biosynthesis proteins	0.0968965631055887	0.827325357184166	-0.00255067050762585
Lysine biosynthesis	0.223111103474059	0.827325357184166	0.000426815906394775
Lysine degradation	0.880005025761636	0.970382600996993	-3.27166335254175e-05
N-Glycan biosynthesis	0.201882351301636	0.827325357184166	-0.000419841764105459
Other glycan degradation	0.165504623076986	0.827325357184166	-0.00191272925677223
Pentose and glucuronate interconversions	0.737777565570722	0.970382600996993	-0.000382371435199102
Pentose phosphate pathway	0.838050155529714	0.970382600996993	9.84570471446252e-05
Peptidoglycan biosynthesis	0.652132399115316	0.970382600996993	0.000261588775321068
Phenylalanine metabolism	0.0771805388652502	0.827325357184166	-0.000470755551136615
Phenylalanine, tyrosine and tryptophan biosynthesis	0.169967617900996	0.827325357184166	0.000435055922694182
