Significant Taxon ~ Clinical
MK5 
pvals	adj.pvals	coeffs
Arginine and proline metabolism	0.0441570562226905	0.227846017440912	0.00453985834311151
Valine, leucine and isoleucine biosynthesis	0.0159241057291787	0.227846017440912	0.0064171037047797
D-Arginine and D-ornithine metabolism	0.0298505189933361	0.227846017440912	-0.00196146051014988
Glycosyltransferases	0.0282702660325337	0.227846017440912	-0.00467429518093837
Glycine, serine and threonine metabolism	0.0275102293179491	0.227846017440912	-0.0016233783265233
Lipopolysaccharide biosynthesis proteins	0.0199057954156691	0.227846017440912	-0.0127030279573329
Lysine biosynthesis	0.0181140421746607	0.227846017440912	0.00292068399619977
Phenylalanine, tyrosine and tryptophan biosynthesis	0.00961172349673882	0.227846017440912	0.00288644952984591
Purine metabolism	0.0423637320063864	0.227846017440912	-0.0050183482613317
Pyrimidine metabolism	0.0447554677116078	0.227846017440912	-0.0051682624211045
Valine, leucine and isoleucine degradation	0.0395698713078762	0.227846017440912	-0.00215551980369799
