ISO 
taxa ~ clinical_var
	pvals	adj.pvals	coeffs
Alanine, aspartate and glutamate metabolism	0.389240362056274	0.977547881398368	-1.45204915451625e-06
Amino acid related enzymes	0.737553909948998	0.977547881398368	7.01935778866995e-07
Amino sugar and nucleotide sugar metabolism	0.0718507584619525	0.977547881398368	-4.66151974697462e-06
Arginine and proline metabolism	0.916153257285188	0.977547881398368	3.31019638257522e-07
Ascorbate and aldarate metabolism	0.228709825228462	0.977547881398368	-1.85250735950222e-06
Biosynthesis of unsaturated fatty acids	0.523066095251683	0.977547881398368	6.57119772340635e-07
Butanoate metabolism	0.622218948084539	0.977547881398368	8.35353020486636e-07
Valine, leucine and isoleucine biosynthesis	0.482445883543752	0.977547881398368	2.62142580021865e-06
Steroid biosynthesis	0.711285340172969	0.977547881398368	5.13217804227635e-07
Cyanoamino acid metabolism	0.715178870099977	0.977547881398368	-9.98529622953581e-07
Cysteine and methionine metabolism	0.91839022197818	0.977547881398368	1.50596926923538e-07
D-Alanine metabolism	0.935992433125799	0.977547881398368	8.01980773074165e-08
D-Arginine and D-ornithine metabolism	0.335261312349991	0.977547881398368	-1.2113953050508e-06
D-Glutamine and D-glutamate metabolism	0.313910484845275	0.977547881398368	-8.02244170339144e-07
Ether lipid metabolism	0.917308485474814	0.977547881398368	7.1967964942554e-08
Fatty acid biosynthesis	0.786166893543603	0.977547881398368	3.6975750784154e-07
Fatty acid metabolism	0.595914100581637	0.977547881398368	5.65181335671433e-07
Fructose and mannose metabolism	0.264526172051015	0.977547881398368	-2.82310222415309e-06
Galactose metabolism	0.433508335085639	0.977547881398368	-3.20188941505722e-06
Glycosyltransferases	0.370137883027218	0.977547881398368	-2.66149322507971e-06
Glycerolipid metabolism	0.764676300708609	0.977547881398368	8.07959663876541e-07
Glycerophospholipid metabolism	0.239586401361861	0.977547881398368	2.18193640275115e-06
Glycine, serine and threonine metabolism	0.591319119450058	0.977547881398368	-5.52534053994044e-07
Glycolysis / Gluconeogenesis	0.876593189924033	0.977547881398368	2.5827403789097e-07
Glycosphingolipid biosynthesis - lacto and neolacto series	0.188851938299451	0.977547881398368	-1.31589925541446e-06
Glyoxylate and dicarboxylate metabolism	0.782356749056502	0.977547881398368	-6.15347611918706e-07
Histidine metabolism	0.707198131401268	0.977547881398368	-1.1784156153087e-06
Inositol phosphate metabolism	0.230168019196853	0.977547881398368	-1.72951216061501e-06
Lipid biosynthesis proteins	0.708236440369736	0.977547881398368	-5.06609365185288e-07
Lipopolysaccharide biosynthesis proteins	0.208943915559878	0.977547881398368	-9.54641529598673e-06
Lysine biosynthesis	0.418641322727633	0.977547881398368	1.39890098531967e-06
Lysine degradation	0.977547881398368	0.977547881398368	-2.99988851862916e-08
N-Glycan biosynthesis	0.207777615880381	0.977547881398368	-2.03846640277798e-06
Other glycan degradation	0.42876782032482	0.977547881398368	-5.40003716003327e-06
Pentose and glucuronate interconversions	0.472141393324115	0.977547881398368	-4.03084754572595e-06
Pentose phosphate pathway	0.970897959385901	0.977547881398368	-8.64450601718946e-08
Peptidoglycan biosynthesis	0.970456586050129	0.977547881398368	1.05791493977623e-07
Phenylalanine metabolism	0.324047712453909	0.977547881398368	-1.30488735575208e-06
Phenylalanine, tyrosine and tryptophan biosynthesis	0.16096844397246	0.977547881398368	2.18478263389929e-06
Phosphonate and phosphinate metabolism	0.384952185834997	0.977547881398368	-1.95707234750944e-06
Primary bile acid biosynthesis	0.940349822486058	0.977547881398368	-1.74565237470881e-07
Propanoate metabolism	0.869453203585035	0.977547881398368	2.29739700801141e-07
Purine metabolism	0.742239022397596	0.977547881398368	-1.13316710011123e-06
Pyrimidine metabolism	0.884738450043128	0.977547881398368	-5.2026787333995e-07
Pyruvate metabolism	0.829091176684774	0.977547881398368	6.98537196516843e-07
Selenocompound metabolism	0.299944044628938	0.977547881398368	8.17166009358241e-07
Starch and sucrose metabolism	0.674634276035064	0.977547881398368	-1.41242030626137e-06
